image_name,condition,thisN,thisTrialN,thisRepN,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,text_2.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stim_image.started,fixation.stopped,stim_image.stopped,text.started,remember_box.started,familiar_box.started,forgotten_box.started,remember_text.started,familiar_text.started,forgotten_text.started,mouse_resp.started,trial.stopped,response_label,response_code,trials.mouse_resp.x,trials.mouse_resp.y,trials.mouse_resp.leftButton,trials.mouse_resp.midButton,trials.mouse_resp.rightButton,trials.mouse_resp.time,trials.mouse_resp.clicked_name,end_thanks.started,thanks.started,thanks.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.011319208075292408,0.018839791999198496,0.018839791999198496,43.279156333068386,space,43.257474207901396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
Frustrated pose 2.jpg,new,0,0,0,[np.float64(0.036610878661087864)],[np.float64(-0.29707112970711297)],[1],[0],[0],[1.912332999985665],['familiar_box'],0,0,0,50,43.3430171670625,,,,,,,,,43.32514608302154,43.3430171670625,44.276264667045325,44.333095583016984,47.265823791967705,47.29257745796349,47.29257745796349,47.29257745796349,47.29257745796349,47.29257745796349,47.29257745796349,47.29257745796349,4.013452541898005,49.205231333035044,Familiar,2,[np.float64(0.036610878661087864)],[np.float64(-0.29707112970711297)],[1],[0],[0],[1.912332999985665],['familiar_box'],,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
Cold 6,new,1,1,0,[np.float64(0.25418410041841005)],[np.float64(-0.2897489539748954)],[1],[0],[0],[2.9535275410162285],['forgotten_box'],0,1,1,52,49.522771707968786,,,,,,,,,49.51876845804509,49.522771707968786,50.50033633306157,50.51644170796499,53.494123792042956,53.50545308296569,53.50545308296569,53.50545308296569,53.50545308296569,53.50545308296569,53.50545308296569,53.50545308296569,4.003164416062646,56.466890749987215,Forgotten,1,[np.float64(0.25418410041841005)],[np.float64(-0.2897489539748954)],[1],[0],[0],[2.9535275410162285],['forgotten_box'],,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
Dog 24.jpg,old,2,2,0,[np.float64(-0.2907949790794979)],[np.float64(-0.3002092050209205)],[1],[0],[0],[2.0652420829283074],['remember_box'],0,2,2,24,56.789333582972176,,,,,,,,,56.785467125009745,56.789333582972176,57.76732633297797,57.78253179206513,60.760429667076096,60.7706442080671,60.7706442080671,60.7706442080671,60.7706442080671,60.7706442080671,60.7706442080671,60.7706442080671,4.002064166939817,62.84471483307425,Remembered,3,[np.float64(-0.2907949790794979)],[np.float64(-0.3002092050209205)],[1],[0],[0],[2.0652420829283074],['remember_box'],,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
Plane crash 1.jpg,old,3,3,0,[np.float64(-0.301255230125523)],[np.float64(-0.3075313807531381)],[1],[0],[0],[1.5666540840175003],['remember_box'],0,3,3,16,63.160591583000496,,,,,,,,,63.15646679198835,63.160591583000496,64.14369875006378,64.14932987501379,67.13189137505833,67.14241954206955,67.14241954206955,67.14241954206955,67.14241954206955,67.14241954206955,67.14241954206955,67.14241954206955,4.000690208980814,68.71689591696486,Remembered,3,[np.float64(-0.301255230125523)],[np.float64(-0.3075313807531381)],[1],[0],[0],[1.5666540840175003],['remember_box'],,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
Rafting 6.jpg,old,4,4,0,[np.float64(0.3305439330543933)],[np.float64(-0.2907949790794979)],[1],[0],[0],[2.139992958982475],['forgotten_box'],0,4,4,9,69.04020775004756,,,,,,,,,69.03619241702836,69.04020775004756,70.01685904199257,70.03238316706847,73.01043716701679,73.02097304200288,73.02097304200288,73.02097304200288,73.02097304200288,73.02097304200288,73.02097304200288,73.02097304200288,4.002093957969919,75.16958016704302,Forgotten,1,[np.float64(0.3305439330543933)],[np.float64(-0.2907949790794979)],[1],[0],[0],[2.139992958982475],['forgotten_box'],,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
Bloody knife 1.jpg,new,5,5,0,[np.float64(-0.28451882845188287)],[np.float64(-0.3368200836820084)],[1],[0],[0],[0.9067245409823954],['remember_box'],0,5,5,54,75.48893729201518,,,,,,,,,75.48499849997461,75.48893729201518,76.46710970799904,76.48280979203992,79.47024670802057,79.47024670802057,79.47024670802057,79.47024670802057,79.47024670802057,79.47024670802057,79.47024670802057,79.47024670802057,4.002482540905476,80.38561720796861,Remembered,3,[np.float64(-0.28451882845188287)],[np.float64(-0.3368200836820084)],[1],[0],[0],[0.9067245409823954],['remember_box'],,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
Band 1.jpg,old,6,6,0,[np.float64(0.006276150627615063)],[np.float64(-0.2834728033472803)],[1],[0],[0],[1.040271875099279],['familiar_box'],0,6,6,8,80.70523299998604,,,,,,,,,80.70120816701092,80.70523299998604,81.68341250007506,81.69956595799886,84.68771600001492,84.68771600001492,84.68771600001492,84.68771600001492,84.68771600001492,84.68771600001492,84.68771600001492,84.68771600001492,4.003539999946952,85.73644587502349,Familiar,2,[np.float64(0.006276150627615063)],[np.float64(-0.2834728033472803)],[1],[0],[0],[1.040271875099279],['familiar_box'],,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
Explosion 5.jpg,new,7,7,0,[np.float64(0.3274058577405858)],[np.float64(-0.28870292887029286)],[1],[0],[0],[2.647538459044881],['forgotten_box'],0,7,7,67,86.05300937499851,,,,,,,,,86.04902837506961,86.05300937499851,87.03413220797665,87.04803233302664,90.03675029205624,90.03675029205624,90.03675029205624,90.03675029205624,90.03675029205624,90.03675029205624,90.03675029205624,90.03675029205624,4.002949542016722,92.69294670806266,Forgotten,1,[np.float64(0.3274058577405858)],[np.float64(-0.28870292887029286)],[1],[0],[0],[2.647538459044881],['forgotten_box'],,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
School 1.jpg,old,8,8,0,[np.float64(-0.08054393305439331)],[np.float64(-0.3064853556485356)],[1],[0],[0],[1.1012240829877555],['familiar_box'],0,8,8,11,93.01161795796361,,,,,,,,,93.00754454196431,93.01161795796361,93.99808050005231,94.00974041700829,96.99510358297266,96.99510358297266,96.99510358297266,96.99510358297266,96.99510358297266,96.99510358297266,96.99510358297266,96.99510358297266,4.01291379192844,98.11167600005865,Familiar,2,[np.float64(-0.08054393305439331)],[np.float64(-0.3064853556485356)],[1],[0],[0],[1.1012240829877555],['familiar_box'],,,,,devadath,002,2025-11-14_15h22.24.506,Phase 2 Canli Replication,,2025.1.1,None,2025-11-14 15h22.49.667340 +0530,
