thisN,thisTrialN,thisRepN,rating_resp.keys,rating_resp.rt,rating_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,instructions.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image_rating.started,image.started,fixation.started,rating_resp.started,image.stopped,fixation.stopped,rating_resp.stopped,image_rating.stopped,trial_num,image_name,rating,response_given,trials.rating_resp.keys,trials.rating_resp.rt,trials.rating_resp.duration,end_thanks.started,thankyou.started,thankyou.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.00810295797418803,0.017226416966877878,0.017226416966877878,13.152595249994192,space,12.938870915968437,None,,,,,,,,,,,,,,,,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
0,0,0,None,,,0,0,0,0,13.172453249979299,,,,,,,,,13.167736125004012,13.172453249979299,16.155720542010386,16.155720542010386,16.16169620800065,20.171009625017177,20.171009625017177,20.14684308297001,1,Shark 8.jpg,NA,0,None,,,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
1,0,1,2,2.056346124969423,0.08034233300713822,1,0,1,0,20.171009625017177,,,,,,,,,20.16602129198145,20.171009625017177,23.151870624977164,23.151870624977164,23.164465375011787,27.160622916999273,27.160622916999273,27.144627708010375,2,Bubble 2.jpg,2,1,2,2.056346124969423,0.08034233300713822,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
2,0,2,2,0.37756483297562227,0.10421758302254602,2,0,2,0,27.160622916999273,,,,,,,,,27.155839000013657,27.160622916999273,30.150674458011054,30.150674458011054,30.150674458011054,34.15927833301248,34.15927833301248,34.14443037501769,3,Alcohol 6.jpg,2,1,2,0.37756483297562227,0.10421758302254602,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
3,0,3,4,0.525392165989615,0.15640033403178677,3,0,3,0,34.15927833301248,,,,,,,,,34.15465679200133,34.15927833301248,37.150830500002485,37.150830500002485,37.150830500002485,41.1622704580077,41.1622704580077,41.14484679198358,4,Car accident 2.jpg,4,1,4,0.525392165989615,0.15640033403178677,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
4,0,4,4,0.6430415409849957,0.14199854200705886,4,0,4,0,41.1622704580077,,,,,,,,,41.15743645798648,41.1622704580077,44.15152770798886,44.15152770798886,44.159995541966055,48.1612684999709,48.1612684999709,48.14525858301204,5,Dog attack 3.jpg,4,1,4,0.6430415409849957,0.14199854200705886,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
5,0,5,2,0.5390417489688843,0.11635379202198237,5,0,5,0,48.1612684999709,,,,,,,,,48.15644454199355,48.1612684999709,51.1515749579994,51.1515749579994,51.15986512496602,55.16044008301105,55.16044008301105,55.143846291990485,6,Orangutan 1.jpg,2,1,2,0.5390417489688843,0.11635379202198237,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
6,0,6,4,1.3538051669602282,0.05800279101822525,6,0,6,0,55.16044008301105,,,,,,,,,55.1557109169662,55.16044008301105,58.14986145799048,58.14986145799048,58.14986145799048,62.14692208298948,62.14692208298948,62.13391641702037,7,Dead bodies 1.jpg,4,1,4,1.3538051669602282,0.05800279101822525,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
7,0,7,2,0.44600912497844547,0.12597749999258667,7,0,7,0,62.14692208298948,,,,,,,,,62.14359304198297,62.15979979198892,65.15049204201205,65.15049204201205,65.15049204201205,69.16164545802167,69.16164545802167,69.14507087500533,8,Grass 6.jpg,2,1,2,0.44600912497844547,0.12597749999258667,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
8,0,8,2,1.668787250004243,0.10030279099009931,8,0,8,0,69.16164545802167,,,,,,,,,69.15685483301058,69.16164545802167,72.15063137497054,72.15063137497054,72.15932462498313,76.15829054202186,76.15829054202186,76.14387112500845,9,Pig 2.jpg,2,1,2,1.668787250004243,0.10030279099009931,,,,,devadath,001,2025-10-28_17h23.34.515,Canli_replication,,2025.1.1,None,2025-10-28 17h23.55.448175 +0530,
