thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.22125)],[np.float64(-0.23)],[1],[0],[0],[6.662775083997985],['target'],0,0,0,0,0.036304916997323744,,5,0.02277499999763677,0.036304916997323744,0.036304916997323744,0.022791249997681007,6.685649291997834,[np.float64(-0.22125)],[np.float64(-0.23)],[1],[0],[0],[6.662775083997985],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
1,0,1,[np.float64(0.2125)],[np.float64(0.0475)],[1],[0],[0],[2.9020969579978555],['target'],1,0,1,0,6.715945042000385,,10,6.7064402919968416,6.715945042000385,6.715945042000385,0.02056129199991119,9.60859037499904,[np.float64(0.2125)],[np.float64(0.0475)],[1],[0],[0],[2.9020969579978555],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
2,0,2,[np.float64(0.2175)],[np.float64(0.42625)],[1],[0],[0],[2.1346591249966878],['target'],2,0,2,0,9.637673833996814,,10,9.62884666699756,9.637673833996814,9.637673833996814,0.020078333000128623,11.763566292000178,[np.float64(0.2175)],[np.float64(0.42625)],[1],[0],[0],[2.1346591249966878],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
3,0,3,[np.float64(-0.175)],[np.float64(-0.16125)],[1],[0],[0],[2.405585833999794],['target'],3,0,3,0,11.794129874997452,,10,11.784671083998546,11.794129874997452,11.794129874997452,0.02089450000130455,14.190312124999764,[np.float64(-0.175)],[np.float64(-0.16125)],[1],[0],[0],[2.405585833999794],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
4,0,4,[np.float64(0.095)],[np.float64(0.1325)],[1],[0],[0],[2.4796639579981274],['target'],4,0,4,0,14.220404083996982,,10,14.210760583999217,14.220404083996982,14.220404083996982,0.020269042001018533,16.690476083997055,[np.float64(0.095)],[np.float64(0.1325)],[1],[0],[0],[2.4796639579981274],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
5,0,5,[np.float64(-0.4625)],[np.float64(-0.1075)],[1],[0],[0],[1.7266639589979604],['target'],5,0,5,0,16.710395209000126,,5,16.703187249997427,16.710395209000126,16.710395209000126,0.012502207999204984,18.429914624997764,[np.float64(-0.4625)],[np.float64(-0.1075)],[1],[0],[0],[1.7266639589979604],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
6,0,6,[np.float64(0.06875)],[np.float64(0.25125)],[1],[0],[0],[1.7980290410014277],['target'],6,0,6,0,18.44936400000006,,5,18.442220666998765,18.44936400000006,18.44936400000006,0.012123666998377303,20.240312958998402,[np.float64(0.06875)],[np.float64(0.25125)],[1],[0],[0],[1.7980290410014277],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
7,0,7,[np.float64(-0.28)],[np.float64(-0.065)],[1],[0],[0],[1.9989631659991574],['target'],7,0,7,0,20.272806499997387,,10,20.263341124998988,20.272806499997387,20.272806499997387,0.022853165999549674,22.26236337499722,[np.float64(-0.28)],[np.float64(-0.065)],[1],[0],[0],[1.9989631659991574],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
8,0,8,[np.float64(0.06875)],[np.float64(0.29375)],[1],[0],[0],[1.8410419579995505],['target'],8,0,8,0,22.29186262499934,,10,22.282392249999248,22.29186262499934,22.29186262499934,0.019827459000225645,24.12347866699929,[np.float64(0.06875)],[np.float64(0.29375)],[1],[0],[0],[1.8410419579995505],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
9,0,9,[np.float64(-0.28125)],[np.float64(0.10125)],[1],[0],[0],[1.955798541999684],['target'],9,0,9,0,24.14160224999796,,5,24.134621208999306,24.14160224999796,24.14160224999796,0.010980457998812199,26.09047608399851,[np.float64(-0.28125)],[np.float64(0.10125)],[1],[0],[0],[1.955798541999684],['target'],003,001,2025-09-30_11h28.14.176,Visual Search,,2025.1.1,None,2025-09-30 11h28.28.625223 +0530,
