3.2472 	DATA 	Keypress: right
3.2531 	EXP 	fixation: autoDraw = False
3.2531 	EXP 	grating: autoDraw = False
3.2531 	EXP 	grating: ori = np.float64(-4.0)
3.2531 	EXP 	fixation: autoDraw = True
3.3552 	EXP 	Device response: <KeyPress from None: t=3.237949624992325, value=right, duration=0.10446166701149195>
3.7420 	INFO 	Keyboard events cleared
3.7418 	EXP 	fixation: autoDraw = False
3.7418 	EXP 	grating: autoDraw = True
4.0403 	EXP 	grating: autoDraw = False
4.2717 	EXP 	Device response: <KeyPress from None: t=4.258947458991315, value=left, duration=None>
4.2766 	DATA 	Keypress: left
4.2794 	EXP 	fixation: autoDraw = False
4.2794 	EXP 	grating: autoDraw = False
4.2794 	EXP 	grating: ori = np.float64(-2.0)
4.2794 	EXP 	fixation: autoDraw = True
4.3716 	EXP 	Device response: <KeyPress from None: t=4.258947458991315, value=left, duration=0.10836587499943562>
4.7704 	INFO 	Keyboard events cleared
4.7702 	EXP 	grating: autoDraw = True
4.7741 	EXP 	fixation: autoDraw = False
5.0576 	EXP 	grating: autoDraw = False
5.3220 	EXP 	Device response: <KeyPress from None: t=5.309932749994914, value=left, duration=None>
5.3401 	DATA 	Keypress: left
5.3427 	WARNING 	t of last frame was 22.36ms (=1/44)
5.3427 	EXP 	fixation: autoDraw = False
5.3427 	EXP 	grating: autoDraw = False
5.3427 	EXP 	grating: ori = np.float64(-1.0)
5.3427 	EXP 	fixation: autoDraw = True
5.4047 	EXP 	Device response: <KeyPress from None: t=5.309932749994914, value=left, duration=0.08838499999546912>
5.8204 	INFO 	Keyboard events cleared
5.8202 	EXP 	grating: autoDraw = True
5.8404 	EXP 	fixation: autoDraw = False
6.1067 	EXP 	grating: autoDraw = False
6.3218 	EXP 	Device response: <KeyPress from None: t=6.319009999991977, value=left, duration=None>
6.3268 	DATA 	Keypress: left
6.3298 	EXP 	fixation: autoDraw = False
6.3298 	EXP 	grating: autoDraw = False
6.3298 	EXP 	grating: ori = np.float64(-1.0)
6.3298 	EXP 	fixation: autoDraw = True
6.4217 	EXP 	Device response: <KeyPress from None: t=6.319009999991977, value=left, duration=0.09634225000627339>
6.8206 	INFO 	Keyboard events cleared
6.8203 	EXP 	grating: autoDraw = True
6.8251 	EXP 	fixation: autoDraw = False
7.1075 	EXP 	grating: autoDraw = False
7.6216 	EXP 	Device response: <KeyPress from None: t=7.612191583990352, value=left, duration=None>
7.6261 	DATA 	Keypress: left
7.6290 	EXP 	fixation: autoDraw = False
7.6290 	EXP 	grating: autoDraw = False
7.6290 	EXP 	grating: ori = np.float64(1.0)
7.6290 	EXP 	fixation: autoDraw = True
7.7055 	EXP 	Device response: <KeyPress from None: t=7.612191583990352, value=left, duration=0.08811866601172369>
7.8916 	WARNING 	t of last frame was 34.78ms (=1/28)
8.1205 	INFO 	Keyboard events cleared
8.1203 	EXP 	grating: autoDraw = True
8.1254 	EXP 	fixation: autoDraw = False
8.4077 	EXP 	grating: autoDraw = False
8.6245 	EXP 	Device response: <KeyPress from None: t=8.621975542002474, value=right, duration=None>
8.6289 	DATA 	Keypress: right
8.6369 	EXP 	fixation: autoDraw = False
8.6369 	EXP 	grating: autoDraw = False
8.6369 	EXP 	grating: ori = np.float64(1.0)
8.6369 	EXP 	fixation: autoDraw = True
8.7387 	EXP 	Device response: <KeyPress from None: t=8.621975542002474, value=right, duration=0.10424141699331813>
9.1202 	INFO 	Keyboard events cleared
9.1200 	EXP 	grating: autoDraw = True
9.1230 	EXP 	fixation: autoDraw = False
9.4071 	EXP 	grating: autoDraw = False
9.7217 	EXP 	Device response: <KeyPress from None: t=9.708023500003037, value=right, duration=None>
9.7271 	DATA 	Keypress: right
9.7300 	EXP 	fixation: autoDraw = False
9.7300 	EXP 	grating: autoDraw = False
9.7300 	EXP 	grating: ori = np.float64(1.0)
9.7300 	EXP 	fixation: autoDraw = True
9.8382 	EXP 	Device response: <KeyPress from None: t=9.708023500003037, value=right, duration=0.12827670898695942>
10.2202 	INFO 	Keyboard events cleared
10.2201 	EXP 	grating: autoDraw = True
10.2239 	EXP 	fixation: autoDraw = False
10.5066 	EXP 	grating: autoDraw = False
10.7719 	EXP 	Device response: <KeyPress from None: t=10.76393183399341, value=right, duration=None>
10.7774 	DATA 	Keypress: right
10.7802 	EXP 	fixation: autoDraw = False
10.7802 	EXP 	grating: autoDraw = False
10.7802 	EXP 	grating: ori = np.float64(-1.0)
10.7802 	EXP 	fixation: autoDraw = True
10.9087 	EXP 	Device response: <KeyPress from None: t=10.76393183399341, value=right, duration=0.14035120799962897>
11.2703 	INFO 	Keyboard events cleared
11.2702 	EXP 	grating: autoDraw = True
11.2739 	EXP 	fixation: autoDraw = False
11.5570 	EXP 	grating: autoDraw = False
11.8720 	EXP 	Device response: <KeyPress from None: t=11.861996958992677, value=left, duration=None>
11.8774 	DATA 	Keypress: left
11.8802 	EXP 	fixation: autoDraw = False
11.8802 	EXP 	grating: autoDraw = False
11.8802 	EXP 	grating: ori = np.float64(-1.0)
11.8802 	EXP 	fixation: autoDraw = True
11.9713 	EXP 	Device response: <KeyPress from None: t=11.861996958992677, value=left, duration=0.10029554100765381>
12.3701 	INFO 	Keyboard events cleared
12.3700 	EXP 	grating: autoDraw = True
12.3745 	EXP 	fixation: autoDraw = False
12.6571 	EXP 	grating: autoDraw = False
12.9390 	EXP 	Device response: <KeyPress from None: t=12.936899291991722, value=left, duration=None>
12.9449 	DATA 	Keypress: left
12.9479 	EXP 	fixation: autoDraw = False
12.9479 	EXP 	grating: autoDraw = False
12.9479 	EXP 	grating: ori = np.float64(1.0)
12.9479 	EXP 	fixation: autoDraw = True
13.0554 	EXP 	Device response: <KeyPress from None: t=12.936899291991722, value=left, duration=0.10427045800315682>
13.4371 	INFO 	Keyboard events cleared
13.4369 	EXP 	grating: autoDraw = True
13.4413 	EXP 	fixation: autoDraw = False
13.7241 	EXP 	grating: autoDraw = False
14.0556 	EXP 	Device response: <KeyPress from None: t=14.053826000003028, value=right, duration=None>
14.0640 	DATA 	Keypress: right
14.0700 	EXP 	fixation: autoDraw = False
14.0700 	EXP 	grating: autoDraw = False
14.0700 	EXP 	grating: ori = np.float64(-1.0)
14.0700 	EXP 	fixation: autoDraw = True
14.1715 	EXP 	Device response: <KeyPress from None: t=14.053826000003028, value=right, duration=0.11628112499602139>
14.5581 	INFO 	Keyboard events cleared
14.5580 	EXP 	fixation: autoDraw = False
14.5580 	EXP 	grating: autoDraw = True
14.8535 	EXP 	grating: autoDraw = False
15.0749 	EXP 	Device response: <KeyPress from None: t=15.072833416998037, value=left, duration=None>
15.0797 	DATA 	Keypress: left
15.0869 	EXP 	fixation: autoDraw = False
15.0869 	EXP 	grating: autoDraw = False
15.0869 	EXP 	grating: ori = np.float64(-1.0)
15.0869 	EXP 	fixation: autoDraw = True
15.2060 	EXP 	Device response: <KeyPress from None: t=15.072833416998037, value=left, duration=0.12842654199630488>
15.5743 	INFO 	Keyboard events cleared
15.5741 	EXP 	fixation: autoDraw = False
15.5741 	EXP 	grating: autoDraw = True
15.8702 	EXP 	grating: autoDraw = False
16.0720 	EXP 	Device response: <KeyPress from None: t=16.06783129199175, value=right, duration=None>
16.0778 	DATA 	Keypress: right
16.0810 	EXP 	fixation: autoDraw = False
16.0810 	EXP 	grating: autoDraw = False
16.0810 	EXP 	grating: ori = np.float64(-2.0)
16.0810 	EXP 	fixation: autoDraw = True
16.2083 	EXP 	Device response: <KeyPress from None: t=16.06783129199175, value=right, duration=0.1363222920044791>
16.5703 	INFO 	Keyboard events cleared
16.5701 	EXP 	grating: autoDraw = True
16.5739 	EXP 	fixation: autoDraw = False
16.8573 	EXP 	grating: autoDraw = False
17.0881 	EXP 	Device response: <KeyPress from None: t=17.079730291996384, value=left, duration=None>
17.0933 	DATA 	Keypress: left
17.0964 	EXP 	fixation: autoDraw = False
17.0964 	EXP 	grating: autoDraw = False
17.0964 	EXP 	grating: ori = np.float64(2.0)
17.0964 	EXP 	fixation: autoDraw = True
17.2221 	EXP 	Device response: <KeyPress from None: t=17.079730291996384, value=left, duration=0.14026850000664126>
17.5868 	INFO 	Keyboard events cleared
17.5867 	EXP 	grating: autoDraw = True
17.5901 	EXP 	fixation: autoDraw = False
17.8738 	EXP 	grating: autoDraw = False
18.1215 	EXP 	Device response: <KeyPress from None: t=18.118748458990012, value=right, duration=None>
18.1276 	DATA 	Keypress: right
18.1307 	EXP 	fixation: autoDraw = False
18.1307 	EXP 	grating: autoDraw = False
18.1307 	EXP 	grating: ori = np.float64(-2.0)
18.1307 	EXP 	fixation: autoDraw = True
18.2382 	EXP 	Device response: <KeyPress from None: t=18.118748458990012, value=right, duration=0.1163242910115514>
18.6204 	INFO 	Keyboard events cleared
18.6202 	EXP 	grating: autoDraw = True
18.6246 	EXP 	fixation: autoDraw = False
18.9067 	EXP 	grating: autoDraw = False
19.2048 	EXP 	Device response: <KeyPress from None: t=19.192749291993096, value=left, duration=None>
19.2106 	DATA 	Keypress: left
19.2135 	EXP 	fixation: autoDraw = False
19.2135 	EXP 	grating: autoDraw = False
19.2135 	EXP 	grating: ori = np.float64(1.0)
19.2135 	EXP 	fixation: autoDraw = True
19.3215 	EXP 	Device response: <KeyPress from None: t=19.192749291993096, value=left, duration=0.12420958300936036>
19.7036 	INFO 	Keyboard events cleared
19.7034 	EXP 	grating: autoDraw = True
19.7072 	EXP 	fixation: autoDraw = False
19.9903 	EXP 	grating: autoDraw = False
20.4549 	EXP 	Device response: <KeyPress from None: t=20.44055616699916, value=right, duration=None>
20.4605 	DATA 	Keypress: right
20.4634 	EXP 	fixation: autoDraw = False
20.4634 	EXP 	grating: autoDraw = False
20.4634 	EXP 	grating: ori = np.float64(1.0)
20.4634 	EXP 	fixation: autoDraw = True
20.5544 	EXP 	Device response: <KeyPress from None: t=20.44055616699916, value=right, duration=0.10843091699643992>
20.9535 	INFO 	Keyboard events cleared
20.9533 	EXP 	grating: autoDraw = True
20.9567 	EXP 	fixation: autoDraw = False
21.2396 	EXP 	grating: autoDraw = False
21.9382 	EXP 	Device response: <KeyPress from None: t=21.928458374997717, value=right, duration=None>
21.9439 	DATA 	Keypress: right
21.9468 	EXP 	fixation: autoDraw = False
21.9468 	EXP 	grating: autoDraw = False
21.9468 	EXP 	grating: ori = np.float64(1.0)
