reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
118,270,57,0,0,0,l,3.3817842500284314,None,0,0,0,99,0.08606016600970179,,0.07985112501773983,0.08606016600970179,0.9973345409962349,0.9973345409962349,1.0838826250401326,4.706457666005008,l,3.3817842500284314,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
25,45,16,1,1,0,l,3.1607529589673504,None,0,1,1,10,4.73803524998948,,4.710889750043862,4.73803524998948,5.70229395799106,5.70229395799106,5.734137875027955,8.869039125042036,l,3.1607529589673504,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
26,52,11,2,2,0,l,2.635512583947275,None,0,2,2,53,8.895342166011687,,8.875538457999937,8.895342166011687,9.867976708046626,9.867976708046626,9.884295541036408,12.51320729102008,l,2.635512583947275,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
38,76,17,3,3,0,l,3.917899166990537,None,0,3,3,59,12.530994583037682,,12.522964750009123,12.530994583037682,13.51175454101758,13.51175454101758,13.528201208042447,17.435542416002136,l,3.917899166990537,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
60,125,28,4,4,0,l,2.910408916999586,None,0,4,4,70,17.449396250012796,,17.441910875029862,17.449396250012796,18.43522575002862,18.43522575002862,18.44497308303835,21.35174975002883,l,2.910408916999586,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
80,175,38,5,5,0,l,2.8597113749710843,None,0,5,5,80,21.368288541038055,,21.36019158299314,21.368288541038055,22.351894500025082,22.351894500025082,22.361624250013847,25.213177375029773,l,2.8597113749710843,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
55,80,75,6,6,0,t,2.4558438339736313,None,0,6,6,22,25.229947500047274,,25.220219458045904,25.229947500047274,26.2117338750395,26.2117338750395,26.228362041001674,28.669035625003744,t,2.4558438339736313,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
90,135,160,7,7,0,t,1.7388127080048434,None,0,7,7,39,28.687147375021596,,28.678517666005064,28.687147375021596,29.66872991604032,29.66872991604032,29.68413775000954,31.41296504100319,t,1.7388127080048434,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
66,140,31,8,8,0,t,3.253972624952439,None,0,8,8,73,31.428351416019723,,31.419707583030686,31.428351416019723,32.41134650004096,32.41134650004096,32.41609829099616,35.66876766603673,t,3.253972624952439,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
114,260,55,9,9,0,l,2.465690959012136,None,0,9,9,97,35.68319845799124,,35.67494691599859,35.68319845799124,36.66861858300399,36.66861858300399,36.67800725001143,39.14676558302017,l,2.465690959012136,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
90,200,43,10,10,0,l,2.7952705419738777,None,0,10,10,85,39.16297658300027,,39.15400304103969,39.16297658300027,40.144964750041254,40.144964750041254,40.161463833006565,42.946054958039895,l,2.7952705419738777,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
98,155,180,11,11,0,t,1.9605620420188643,None,0,11,11,43,42.96232804103056,,42.95353579102084,42.96232804103056,43.94481675000861,43.94481675000861,43.951224874996115,45.912435583013576,t,1.9605620420188643,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
58,82,80,12,12,0,t,2.1572641659877263,None,0,12,12,23,45.927530832996126,,45.91890895803226,45.927530832996126,46.901826500019524,46.901826500019524,46.916741083026864,49.06330858299043,t,2.1572641659877263,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
58,120,27,13,13,0,l,2.244012125011068,None,0,13,13,69,49.07912687503267,,49.070427916012704,49.07912687503267,50.06132641603472,50.06132641603472,50.078220708004665,52.31345549999969,l,2.244012125011068,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
48,96,22,14,14,0,l,3.0037319169496186,None,0,14,14,64,52.32953795802314,,52.32091616600519,52.32953795802314,53.31125362502644,53.31125362502644,53.327863749989774,56.318590665992815,l,3.0037319169496186,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
112,255,54,15,15,0,l,2.368558000016492,None,0,15,15,96,56.33331283304142,,56.325196958030574,56.33331283304142,57.318313666037284,57.318313666037284,57.32811166602187,59.696766083012335,l,2.368558000016492,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
12,24,4,16,16,0,l,2.391947790980339,None,0,16,16,46,59.713195624994114,,59.70495783298975,59.713195624994114,60.69471450004494,60.69471450004494,60.71116574999178,63.096632458036765,l,2.391947790980339,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
34,68,15,17,17,0,l,4.671965125016868,None,0,17,17,57,63.11474975000601,,63.10510675003752,63.11474975000601,64.0946695409948,64.0946695409948,64.11124841601122,68.76864791603293,l,4.671965125016868,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
42,84,19,18,18,0,t,2.547355582995806,None,0,18,18,61,68.78308625001227,,68.77515104104532,68.78308625001227,69.76847387501039,69.76847387501039,69.77773587504635,72.31840741599444,t,2.547355582995806,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
76,100,125,19,19,0,t,2.8467680840403773,None,0,19,19,32,72.33302908303449,,72.32498354103882,72.33302908303449,73.31774708302692,73.31774708302692,73.32772808300797,76.16843975003576,t,2.8467680840403773,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
20,38,12,20,20,0,t,2.8324984170030802,None,0,20,20,9,76.18326479103416,,76.17484154104022,76.18326479103416,77.16791637503775,77.16791637503775,77.17774066602578,80.01324133301387,t,2.8324984170030802,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
16,32,6,21,21,0,l,2.2229087919695303,None,0,21,21,48,80.02963379101129,,80.02073041599942,80.02963379101129,81.01142550003715,81.01142550003715,81.02773462503683,83.24591916601639,l,2.2229087919695303,None,235754,001,2025-10-29_12h30.07.045,Delay Discounting,,2025.1.1,None,2025-10-29 12h30.58.451824 +0530,
