thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.145)],[np.float64(0.27375)],[1],[0],[0],[1.5875039999991714],['target'],0,0,0,0,0.0327412499973434,,5,0.01861220799764851,0.0327412499973434,0.0327412499973434,0.01862612499826355,1.6061860409972724,[np.float64(0.145)],[np.float64(0.27375)],[1],[0],[0],[1.5875039999991714],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
1,0,1,[np.float64(-0.03625)],[np.float64(0.06)],[1],[0],[0],[2.4864955829980318],['target'],1,0,1,0,1.6359067909979785,,10,1.6262374159996398,1.6359067909979785,1.6359067909979785,0.019841749999613967,4.112797124998906,[np.float64(-0.03625)],[np.float64(0.06)],[1],[0],[0],[2.4864955829980318],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
2,0,2,[np.float64(0.16375)],[np.float64(0.05375)],[1],[0],[0],[2.7718742919969372],['target'],2,0,2,0,4.131757082999684,,5,4.12464104099854,4.131757082999684,4.131757082999684,0.011642875000688946,6.8965694999969855,[np.float64(0.16375)],[np.float64(0.05375)],[1],[0],[0],[2.7718742919969372],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
3,0,3,[np.float64(0.06625)],[np.float64(0.36)],[1],[0],[0],[2.559381291997852],['target'],3,0,3,0,6.928274665999197,,10,6.918823290998262,6.928274665999197,6.928274665999197,0.022080833001382416,9.478252124998107,[np.float64(0.06625)],[np.float64(0.36)],[1],[0],[0],[2.559381291997852],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
4,0,4,[np.float64(0.2425)],[np.float64(-0.14625)],[1],[0],[0],[3.689212542001769],['target'],4,0,4,0,9.49775787499675,,5,9.490347124999971,9.49775787499675,9.49775787499675,0.011926625000342028,13.179634290998365,[np.float64(0.2425)],[np.float64(-0.14625)],[1],[0],[0],[3.689212542001769],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
5,0,5,[np.float64(-0.22625)],[np.float64(-0.32375)],[1],[0],[0],[2.6869417499983683],['target'],5,0,5,0,13.200121249999938,,5,13.192912499998783,13.200121249999938,13.200121249999938,0.013091458000417333,15.879981540998415,[np.float64(-0.22625)],[np.float64(-0.32375)],[1],[0],[0],[2.6869417499983683],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
6,0,6,[np.float64(-0.17875)],[np.float64(-0.40125)],[1],[0],[0],[1.8077594160022272],['target'],6,0,6,0,15.901841374998185,,5,15.894471749998047,15.901841374998185,15.901841374998185,0.014197458000126062,17.70229287499751,[np.float64(-0.17875)],[np.float64(-0.40125)],[1],[0],[0],[1.8077594160022272],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
7,0,7,[np.float64(0.1275)],[np.float64(0.37125)],[1],[0],[0],[3.0539965419993678],['target'],7,0,7,0,17.734607499998674,,10,17.725052874997345,17.734607499998674,17.734607499998674,0.022568833999685012,20.77911141599907,[np.float64(0.1275)],[np.float64(0.37125)],[1],[0],[0],[3.0539965419993678],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
8,0,8,[np.float64(0.415)],[np.float64(0.07625)],[1],[0],[0],[2.050513750000391],['target'],8,0,8,0,20.81019012499746,,10,20.800778249998984,20.81019012499746,20.81019012499746,0.021462124997924548,22.851335957999254,[np.float64(0.415)],[np.float64(0.07625)],[1],[0],[0],[2.050513750000391],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
9,0,9,[np.float64(0.38125)],[np.float64(0.0325)],[1],[0],[0],[3.2001826250016165],['target'],9,0,9,0,22.870040665999113,,5,22.862964249998186,22.870040665999113,22.870040665999113,0.011467124997579958,26.063233832999686,[np.float64(0.38125)],[np.float64(0.0325)],[1],[0],[0],[3.2001826250016165],['target'],004,001,2025-09-30_11h40.37.131,Visual Search,,2025.1.1,None,2025-09-30 11h40.43.281740 +0530,
