thisN,thisTrialN,thisRepN,rating_resp.keys,rating_resp.rt,rating_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,instructions.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image_rating.started,image.started,fixation.started,rating_resp.started,image.stopped,fixation.stopped,rating_resp.stopped,image_rating.stopped,trial_num,image_name,rating,response_given,trials.rating_resp.keys,trials.rating_resp.rt,trials.rating_resp.duration,end_thanks.started,thankyou.started,thankyou.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.011434874963015318,0.2742959589813836,0.2742959589813836,23.385376124992035,space,23.108639249985572,None,,,,,,,,,,,,,,,,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
0,0,0,3,1.4668474579812028,0.0820252500125207,0,0,0,0,23.428607624955475,,,,,,,,,23.422288749949075,23.428607624955475,26.389220291981474,26.389220291981474,26.43396891700104,30.397233333962504,30.397233333962504,30.379123458988033,1,Cockroach 1.jpg,3,1,3,1.4668474579812028,0.0820252500125207,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
1,0,1,1,0.7162511250353418,0.14198445796500891,1,0,1,0,30.397233333962504,,,,,,,,,30.39237170899287,30.397233333962504,33.385448583983816,33.385448583983816,33.39381145895459,37.39527866698336,37.39527866698336,37.37872645899188,2,Wedding 12.jpg,1,1,1,0.7162511250353418,0.14198445796500891,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
2,0,2,2,0.538402498990763,0.13791575003415346,2,0,2,0,37.39527866698336,,,,,,,,,37.39025624998612,37.39527866698336,40.38511649996508,40.38511649996508,40.39325404196279,44.39414387498982,44.39414387498982,44.3786602919572,3,Feces 2.jpg,2,1,2,0.538402498990763,0.13791575003415346,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
3,0,3,1,0.6240638740127906,0.16600629198364913,3,0,3,0,44.39414387498982,,,,,,,,,44.38921449996997,44.39414387498982,47.38524404197233,47.38524404197233,47.38524404197233,51.38422866695328,51.38422866695328,51.36912933399435,4,Stingray 2.jpg,1,1,1,0.6240638740127906,0.16600629198364913,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
4,0,4,1,0.5777212909888476,0.14606599998660386,4,0,4,0,51.38422866695328,,,,,,,,,51.37953962496249,51.38422866695328,54.38386708399048,54.38386708399048,54.38386708399048,58.37971899996046,58.37971899996046,58.36846037500072,5,Bear 2.jpg,1,1,1,0.5777212909888476,0.14606599998660386,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
5,0,5,4,0.5786632490344346,0.11800829198909923,5,0,5,0,58.37971899996046,,,,,,,,,58.3764585419558,58.393584624980576,61.385477042000275,61.385477042000275,61.385477042000275,65.39393220900092,65.39393220900092,65.37778224999784,6,Spider 2.jpg,4,1,4,0.5786632490344346,0.11800829198909923,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
6,0,6,1,0.6411478740046732,0.13407470902893692,6,0,6,0,65.39393220900092,,,,,,,,,65.3890718339826,65.39393220900092,68.3850137499976,68.3850137499976,68.3850137499976,72.39485616696766,72.39485616696766,72.37806808395544,7,School 1.jpg,1,1,1,0.6411478740046732,0.13407470902893692,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
7,0,7,1,0.4764921659952961,0.12996737501816824,7,0,7,0,72.39485616696766,,,,,,,,,72.39015170896892,72.39485616696766,75.38519545894815,75.38519545894815,75.39344083395554,79.38941299996804,79.38941299996804,79.37662874994567,8,Performance 2.jpg,1,1,1,0.4764921659952961,0.12996737501816824,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
8,0,8,4,0.7807084579835646,0.18601158302044496,8,0,8,0,79.38941299996804,,,,,,,,,79.3848654589965,79.38941299996804,82.38459295895882,82.38459295895882,82.38459295895882,86.39472216699505,86.39472216699505,86.37799512495985,9,Car accident 2.jpg,4,1,4,0.7807084579835646,0.18601158302044496,,,,,sneha,001,2025-10-29_18h06.20.959,Canli_replication,,2025.1.1,None,2025-10-29 18h07.14.011222 +0530,
