image_name,condition,thisN,thisTrialN,thisRepN,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,text_2.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stim_image.started,fixation.stopped,stim_image.stopped,text.started,remember_box.started,familiar_box.started,forgotten_box.started,remember_text.started,familiar_text.started,forgotten_text.started,mouse_resp.started,trial.stopped,response_label,response_code,trials.mouse_resp.x,trials.mouse_resp.y,trials.mouse_resp.leftButton,trials.mouse_resp.midButton,trials.mouse_resp.rightButton,trials.mouse_resp.time,trials.mouse_resp.clicked_name,end_thanks.started,thanks.started,thanks.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.010525540999879013,0.020866875000137952,0.020866875000137952,47.47211833300025,space,47.44565016700017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
Jail 1.jpg,new,0,0,0,[np.float64(0.33158995815899583)],[np.float64(-0.2897489539748954)],[1],[0],[0],[5.551698167000723],['forgotten_box'],0,0,0,68,47.51784445800058,,,,,,,,,47.50703329099997,47.51784445800058,48.46932724999988,48.510160833000555,51.458908874999906,51.47777450000012,51.47777450000012,51.47777450000012,51.47777450000012,51.47777450000012,51.47777450000012,51.47777450000012,4.005699749999621,57.029877957999815,Forgotten,1,[np.float64(0.33158995815899583)],[np.float64(-0.2897489539748954)],[1],[0],[0],[5.551698167000723],['forgotten_box'],,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
Dog 24.jpg,old,1,1,0,[np.float64(-0.26673640167364016)],[np.float64(-0.2698744769874477)],[1],[0],[0],[1.7071838339998067],['remember_box'],0,1,1,24,57.349309500000345,,,,,,,,,57.34539000000041,57.349309500000345,58.32772408300025,58.34365912500016,61.330225749999954,61.330225749999954,61.330225749999954,61.330225749999954,61.330225749999954,61.330225749999954,61.330225749999954,61.330225749999954,4.000858458000039,63.04443354100022,Remembered,3,[np.float64(-0.26673640167364016)],[np.float64(-0.2698744769874477)],[1],[0],[0],[1.7071838339998067],['remember_box'],,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
Explosion 5.jpg,new,2,2,0,[np.float64(0.08158995815899582)],[np.float64(-0.27824267782426776)],[1],[0],[0],[2.2004164580002907],['familiar_box'],0,2,2,67,63.36473662500066,,,,,,,,,63.36062008299996,63.36473662500066,64.34455166600037,64.35976350000055,67.3472567079998,67.3472567079998,67.3472567079998,67.3472567079998,67.3472567079998,67.3472567079998,67.3472567079998,67.3472567079998,3.9998674999997093,69.55471995800053,Familiar,2,[np.float64(0.08158995815899582)],[np.float64(-0.27824267782426776)],[1],[0],[0],[2.2004164580002907],['familiar_box'],,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
Bloody knife 1.jpg,new,3,3,0,[np.float64(0.3263598326359833)],[np.float64(-0.29811715481171547)],[1],[0],[0],[0.7951105000001917],['forgotten_box'],0,3,3,54,69.87125991599987,,,,,,,,,69.86724649999996,69.87125991599987,70.8539254160005,70.86036324999986,73.8423115000005,73.85238554100033,73.85238554100033,73.85238554100033,73.85238554100033,73.85238554100033,73.85238554100033,73.85238554100033,4.0004204589995425,74.65475095800048,Forgotten,1,[np.float64(0.3263598326359833)],[np.float64(-0.29811715481171547)],[1],[0],[0],[0.7951105000001917],['forgotten_box'],,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
Rocks 1.jpg,new,4,4,0,[np.float64(-0.08682008368200837)],[np.float64(-0.30962343096234307)],[1],[0],[0],[2.617390333000003],['familiar_box'],0,4,4,58,74.97079037500043,,,,,,,,,74.96674670799985,74.97079037500043,75.95388604100026,75.9599189999999,78.9425247500003,78.95273404100044,78.95273404100044,78.95273404100044,78.95273404100044,78.95273404100044,78.95273404100044,78.95273404100044,4.00173816700044,81.57865554100044,Familiar,2,[np.float64(-0.08682008368200837)],[np.float64(-0.30962343096234307)],[1],[0],[0],[2.617390333000003],['familiar_box'],,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
Horse racing 1.jpg,new,5,5,0,[np.float64(0.401673640167364)],[np.float64(-0.2928870292887029)],[1],[0],[0],[1.298047957999188],['forgotten_box'],0,5,5,63,81.89825275000021,,,,,,,,,81.89427183299995,81.89825275000021,82.87717179100036,82.89201237500038,85.8821265000006,85.8821265000006,85.8821265000006,85.8821265000006,85.8821265000006,85.8821265000006,85.8821265000006,85.8821265000006,4.002530750000005,87.18786320800064,Forgotten,1,[np.float64(0.401673640167364)],[np.float64(-0.2928870292887029)],[1],[0],[0],[1.298047957999188],['forgotten_box'],,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
Pig 2.jpg,old,6,6,0,[np.float64(0.36506276150627615)],[np.float64(-0.33158995815899583)],[1],[0],[0],[0.4492558749998352],['forgotten_box'],0,6,6,32,87.50450716600062,,,,,,,,,87.5004865410001,87.50450716600062,88.48717149999993,88.49344695800028,91.47627258300054,91.48652829100047,91.48652829100047,91.48652829100047,91.48652829100047,91.48652829100047,91.48652829100047,91.48652829100047,4.0020657079994635,91.9440439580003,Forgotten,1,[np.float64(0.36506276150627615)],[np.float64(-0.33158995815899583)],[1],[0],[0],[0.4492558749998352],['forgotten_box'],,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
Feces 1.jpg,new,7,7,0,[np.float64(-0.006276150627615063)],[np.float64(-0.3075313807531381)],[1],[0],[0],[0.8437977920002595],['familiar_box'],0,7,7,55,92.26522962499985,,,,,,,,,92.26126525000018,92.26522962499985,93.24344050000036,93.25854362500013,96.23697208300018,96.24592591600049,96.24592591600049,96.24592591600049,96.24592591600049,96.24592591600049,96.24592591600049,96.24592591600049,4.005893915999877,97.10371550000036,Familiar,2,[np.float64(-0.006276150627615063)],[np.float64(-0.3075313807531381)],[1],[0],[0],[0.8437977920002595],['familiar_box'],,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
Police 2.jpg,old,8,8,0,[np.float64(-0.3378661087866109)],[np.float64(-0.3253138075313807)],[1],[0],[0],[1.4957464170001913],['remember_box'],0,8,8,3,97.41915900000004,,,,,,,,,97.41513945800034,97.41915900000004,98.40380550000009,98.41010070799985,101.39190491600039,101.40210833299989,101.40210833299989,101.40210833299989,101.40210833299989,101.40210833299989,101.40210833299989,101.40210833299989,4.001156749999609,102.9052887910002,Remembered,3,[np.float64(-0.3378661087866109)],[np.float64(-0.3253138075313807)],[1],[0],[0],[1.4957464170001913],['remember_box'],,,,,tiara,002,2025-11-18_10h50.01.512,Phase 2 Canli Replication,,2025.1.1,None,2025-11-18 10h51.38.361341 +0530,
