delay,freq,conditions,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,400.0,unexp,0,0,0,space,7.02281024993863,None,200,1,[6.798732083989307],[6.798735916963778],0,0,0,0,0.02492858306504786,,0.01958712504711002,0.02492858306504786,0.9945295409997925,0.9945295409997925,1.016970333061181,8.299040000070818,space,7.02281024993863,None,8.299441958079115,8.398319499745655,8.865121333044954,8.83370741608087,8.8359130830504,8.865121333044954,8.865121333044954,8.865121333044954,15.664087375043891,200,1,[6.798732083989307],[6.798735916963778],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.7,400.0,unexp,1,1,0,space,3.975170625024475,None,500,1,[4.975696083041839],[4.975700207985938],0,1,1,2,15.667305708047934,,15.66429429105483,15.667305708047934,16.662221833015792,16.662221833015792,16.662221833015792,20.648999875062145,space,3.975170625024475,None,20.651763333007693,21.350217999719703,21.80398295808118,21.78488845808897,21.786974750109948,21.80398295808118,21.80398295808118,21.80398295808118,26.779897000058554,500,1,[4.975696083041839],[4.975700207985938],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.1,1000.0,exp,2,2,0,space,0.9521073329960927,None,100,1,[4.269558042054996],[4.269560749991797],0,2,2,3,26.783286916092038,,26.780047208070755,26.783286916092038,27.77865295810625,27.77865295810625,27.77865295810625,28.735151375061832,space,0.9521073329960927,None,28.73687275010161,28.845285666702935,29.29952066601254,29.279991166084073,29.281680166022852,29.29952066601254,29.29952066601254,29.29952066601254,33.56924816605169,100,1,[4.269558042054996],[4.269560749991797],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.1,1000.0,exp,3,3,0,space,1.6229042919585481,None,100,1,[1.9253677080851048],[1.9253706660820171],0,3,3,9,33.57705712504685,,33.569404583075084,33.57705712504685,34.56776533310767,34.56776533310767,34.56776533310767,36.19687804102432,space,1.6229042919585481,None,36.199078208068386,36.300242791712904,36.752723375102505,36.73405158310197,36.735952666029334,36.752723375102505,36.752723375102505,36.752723375102505,38.678262791014276,100,1,[1.9253677080851048],[1.9253706660820171],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.1,1000.0,exp,4,4,0,space,1.2362497081048787,None,100,1,[3.1845669590402395],[3.184569959063083],0,4,4,6,38.68142604106106,,38.67844758310821,38.68142604106106,39.66822691611014,39.66822691611014,39.67843237507623,40.91302775009535,space,1.2362497081048787,None,40.91455937502906,41.01734508277538,41.469434250029735,41.45115704101045,41.452948666061275,41.469434250029735,41.469434250029735,41.469434250029735,44.654182083089836,100,1,[3.1845669590402395],[3.184569959063083],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.7,1000.0,exp,5,5,0,space,0.5782512919977307,None,400,1,[6.27984833298251],[6.279857374960557],0,5,5,5,44.6602469580248,,44.65430300007574,44.6602469580248,45.6510982910404,45.6510982910404,45.6510982910404,46.235660500009544,space,0.5782512919977307,None,46.237155791022815,46.94521191675837,47.39928666607011,47.38006908306852,47.381833250052296,47.39928666607011,47.39928666607011,47.39928666607011,53.67941175005399,400,1,[6.27984833298251],[6.279857374960557],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.4,1000.0,exp,6,6,0,space,0.661665958003141,None,300,1,[2.5960780419409275],[2.596081499941647],0,6,6,4,53.68288016610313,,53.679546041064896,53.68288016610313,54.67816800007131,54.67816800007131,54.67816800007131,55.34654141601641,space,0.661665958003141,None,55.348444125032984,55.750130374745154,56.20275133301038,56.18449112505186,56.18627791607287,56.20275133301038,56.20275133301038,56.20275133301038,58.79900312505197,300,1,[2.5960780419409275],[2.596081499941647],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.7,1000.0,exp,7,7,0,space,0.7035075830062851,None,300,1,[2.1644003340043128],[2.164414708968252],0,7,7,11,58.81054766604211,,58.79912758304272,58.81054766604211,59.794956666068174,59.794956666068174,59.79961687501054,60.50237762508914,space,0.7035075830062851,None,60.50408566603437,61.211560957777934,61.66433425003197,61.64600854110904,61.6477750830818,61.66433425003197,61.66433425003197,61.66433425003197,63.82920020807069,300,1,[2.1644003340043128],[2.164414708968252],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.4,400.0,unexp,8,8,0,space,0.7088452080497518,None,700,1,[3.8752706249943003],[3.875273749930784],0,8,8,1,63.83235520811286,,63.82937012508046,63.83235520811286,64.8184348330833,64.8184348330833,64.82835025002714,65.53002129110973,space,0.7088452080497518,None,65.53135470801499,65.93152662477611,66.3854249160504,66.36635375011247,66.36839179100934,66.3854249160504,66.3854249160504,66.3854249160504,70.26086520811077,700,1,[3.8752706249943003],[3.875273749930784],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
0.4,1000.0,exp,9,9,0,space,34.87589529203251,None,300,1,[6.523337332997471],[6.523341582971625],0,9,9,10,70.26387808308937,,70.2610176660819,70.26387808308937,71.25112137501128,71.25112137501128,71.26158654107712,106.1304586250335,space,34.87589529203251,None,106.13279662502464,106.53295995766918,106.98635120806284,106.9676406250801,106.96950950007886,106.98635120806284,106.98635120806284,106.98635120806284,113.50998025003355,300,1,[6.523337332997471],[6.523341582971625],p1,001,2025-11-12_18h22.21.983,Intentional Binding,,2025.1.1,None,2025-11-12 18h22.36.038209 +0530,
