image_name,condition,thisN,thisTrialN,thisRepN,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,text_2.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stim_image.started,fixation.stopped,stim_image.stopped,text.started,remember_box.started,familiar_box.started,forgotten_box.started,remember_text.started,familiar_text.started,forgotten_text.started,mouse_resp.started,trial.stopped,response_label,response_code,trials.mouse_resp.x,trials.mouse_resp.y,trials.mouse_resp.leftButton,trials.mouse_resp.midButton,trials.mouse_resp.rightButton,trials.mouse_resp.time,trials.mouse_resp.clicked_name,end_thanks.started,thanks.started,thanks.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.009301665937528014,0.016064540948718786,0.016064540948718786,14.867490957956761,space,14.839265207992867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
Dead bodies 1.jpg,old,0,0,0,[np.float64(-0.4320083682008368)],[np.float64(-0.2907949790794979)],[1],[0],[0],[2.4981972919777036],['remember_box'],0,0,0,0,14.92833291599527,,,,,,,,,14.912289415951818,14.92833291599527,15.86461208295077,15.921844583004713,18.854416040936485,18.879644457949325,18.879644457949325,18.879644457949325,18.879644457949325,18.879644457949325,18.879644457949325,18.879644457949325,4.012217625044286,21.378193540964276,Remembered,3,[np.float64(-0.4320083682008368)],[np.float64(-0.2907949790794979)],[1],[0],[0],[2.4981972919777036],['remember_box'],,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
Dog attack 3.jpg,old,1,1,0,[np.float64(-0.38284518828451886)],[np.float64(-0.27824267782426776)],[1],[0],[0],[1.034825750044547],['remember_box'],0,1,1,27,21.712259790976532,,,,,,,,,21.70817724999506,21.712259790976532,22.69003158295527,22.705225415993482,25.693137791007757,25.693137791007757,25.693137791007757,25.693137791007757,25.693137791007757,25.693137791007757,25.693137791007757,25.693137791007757,4.016299334005453,26.75093024992384,Remembered,3,[np.float64(-0.38284518828451886)],[np.float64(-0.27824267782426776)],[1],[0],[0],[1.034825750044547],['remember_box'],,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
Stingray 2.jpg,old,2,2,0,[np.float64(0.29707112970711297)],[np.float64(-0.28765690376569036)],[1],[0],[0],[1.2303165000630543],['forgotten_box'],0,2,2,33,27.065950415912084,,,,,,,,,27.061962165986188,27.065950415912084,28.048662624903955,28.054206250002608,31.037790040951222,31.059108040994033,31.059108040994033,31.059108040994033,31.059108040994033,31.059108040994033,31.059108040994033,31.059108040994033,4.003757208934985,32.289839749922976,Forgotten,1,[np.float64(0.29707112970711297)],[np.float64(-0.28765690376569036)],[1],[0],[0],[1.2303165000630543],['forgotten_box'],,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
Shot 3.jpg,old,3,3,0,[np.float64(0.34205020920502094)],[np.float64(-0.26778242677824265)],[1],[0],[0],[1.5351197910495102],['forgotten_box'],0,3,3,13,32.60943387495354,,,,,,,,,32.60539862490259,32.60943387495354,33.58942749991547,33.60417829093058,36.5925906249322,36.5925906249322,36.5925906249322,36.5925906249322,36.5925906249322,36.5925906249322,36.5925906249322,36.5925906249322,4.016489542089403,38.151160040986724,Forgotten,1,[np.float64(0.34205020920502094)],[np.float64(-0.26778242677824265)],[1],[0],[0],[1.5351197910495102],['forgotten_box'],,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
Bloody knife 1.jpg,new,4,4,0,[np.float64(0.3702928870292887)],[np.float64(-0.28451882845188287)],[1],[0],[0],[1.464199792011641],['forgotten_box'],0,4,4,54,38.468349832925014,,,,,,,,,38.464472790947184,38.468349832925014,39.45582612499129,39.46568575000856,42.45942374994047,42.45942374994047,42.45942374994047,42.45942374994047,42.45942374994047,42.45942374994047,42.45942374994047,42.45942374994047,4.003437791951001,43.92405324999709,Forgotten,1,[np.float64(0.3702928870292887)],[np.float64(-0.28451882845188287)],[1],[0],[0],[1.464199792011641],['forgotten_box'],,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
Solar panel 1.jpg,old,5,5,0,[np.float64(0.02615062761506276)],[np.float64(-0.303347280334728)],[1],[0],[0],[1.31875829200726],['familiar_box'],0,5,5,46,44.24557724990882,,,,,,,,,44.24153854092583,44.24557724990882,45.22302270797081,45.238001499907114,48.22593283292372,48.22593283292372,48.22593283292372,48.22593283292372,48.22593283292372,48.22593283292372,48.22593283292372,48.22593283292372,4.016582499956712,49.56813320796937,Familiar,2,[np.float64(0.02615062761506276)],[np.float64(-0.303347280334728)],[1],[0],[0],[1.31875829200726],['familiar_box'],,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
Astronaut 2,new,6,6,0,[np.float64(0.3138075313807531)],[np.float64(-0.30962343096234307)],[1],[0],[0],[1.0903429170139134],['forgotten_box'],0,6,6,53,49.884115541004576,,,,,,,,,49.88024229090661,49.884115541004576,50.87303658295423,50.88245174998883,53.87561295798514,53.87561295798514,53.87561295798514,53.87561295798514,53.87561295798514,53.87561295798514,53.87561295798514,53.87561295798514,4.002665834035724,54.966389749897644,Forgotten,1,[np.float64(0.3138075313807531)],[np.float64(-0.30962343096234307)],[1],[0],[0],[1.0903429170139134],['forgotten_box'],,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
Child labor 2.jpg,old,7,7,0,[np.float64(0.06799163179916318)],[np.float64(-0.3138075313807531)],[1],[0],[0],[0.661424707970582],['familiar_box'],0,7,7,5,55.28183579095639,,,,,,,,,55.27769458293915,55.28183579095639,56.26574445795268,56.272008750005625,59.2543737499509,59.26473687496036,59.26473687496036,59.26473687496036,59.26473687496036,59.26473687496036,59.26473687496036,59.26473687496036,4.001577500021085,59.93421595799737,Familiar,2,[np.float64(0.06799163179916318)],[np.float64(-0.3138075313807531)],[1],[0],[0],[0.661424707970582],['familiar_box'],,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
War 6.jpg,old,8,8,0,[np.float64(-0.3043933054393305)],[np.float64(-0.29811715481171547)],[1],[0],[0],[0.8262469590408728],['remember_box'],0,8,8,1,60.2485959159676,,,,,,,,,60.244566790992394,60.2485959159676,61.232060999958776,61.238809040980414,64.22065029095393,64.24151783296838,64.24151783296838,64.24151783296838,64.24151783296838,64.24151783296838,64.24151783296838,64.24151783296838,4.002706666942686,65.068248666008,Remembered,3,[np.float64(-0.3043933054393305)],[np.float64(-0.29811715481171547)],[1],[0],[0],[0.8262469590408728],['remember_box'],,,,,sneha,002,2025-11-16_12h40.58.327,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h42.38.688039 +0530,
