thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.345)],[np.float64(0.445)],[1],[0],[0],[4.162732583001343],['target'],0,0,0,0,0.044248209000215866,,10,0.02815516700138687,0.044248209000215866,0.044248209000215866,0.02816641699973843,4.190956500002358,[np.float64(0.345)],[np.float64(0.445)],[1],[0],[0],[4.162732583001343],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
1,0,1,"[np.float64(-0.06375), np.float64(-0.08)]","[np.float64(0.03375), np.float64(-0.04375)]","[1, 1]","[0, 0]","[0, 0]","[2.669942374999664, 3.9020590000000084]","[None, 'target']",1,0,1,0,4.220141917001456,,10,4.210548959003063,4.220141917001456,4.220141917001456,0.0193167090001225,8.11265616700257,"[np.float64(-0.06375), np.float64(-0.08)]","[np.float64(0.03375), np.float64(-0.04375)]","[1, 1]","[0, 0]","[0, 0]","[2.669942374999664, 3.9020590000000084]","[None, 'target']",005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
2,0,2,"[np.float64(-0.14625), np.float64(-0.48)]","[np.float64(0.0525), np.float64(0.17375)]","[1, 1]","[0, 0]","[0, 0]","[1.5139097920000495, 3.8699191250016156]","[None, 'target']",2,0,2,0,8.140524459002336,,10,8.131441834000725,8.140524459002336,8.140524459002336,0.018372791000729194,12.001407292002114,"[np.float64(-0.14625), np.float64(-0.48)]","[np.float64(0.0525), np.float64(0.17375)]","[1, 1]","[0, 0]","[0, 0]","[1.5139097920000495, 3.8699191250016156]","[None, 'target']",005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
3,0,3,"[np.float64(-0.00625), np.float64(0.04125)]","[np.float64(0.08125), np.float64(0.08125)]","[1, 1]","[0, 0]","[0, 0]","[1.9551850830030162, 2.433498750000581]","[None, 'target']",3,0,3,0,12.020456042002479,,5,12.013415209003142,12.020456042002479,12.020456042002479,0.011811209002189571,14.4470421670012,"[np.float64(-0.00625), np.float64(0.04125)]","[np.float64(0.08125), np.float64(0.08125)]","[1, 1]","[0, 0]","[0, 0]","[1.9551850830030162, 2.433498750000581]","[None, 'target']",005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
4,0,4,[np.float64(-0.1325)],[np.float64(-0.175)],[1],[0],[0],[2.463940374997037],['target'],4,0,4,0,14.480474584001058,,10,14.470808667003439,14.480474584001058,14.480474584001058,0.02349787499770173,16.934795709003083,[np.float64(-0.1325)],[np.float64(-0.175)],[1],[0],[0],[2.463940374997037],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
5,0,5,[np.float64(-0.02375)],[np.float64(-0.27875)],[1],[0],[0],[2.37269995799943],['target'],5,0,5,0,16.952515584001958,,5,16.94589262500085,16.952515584001958,16.952515584001958,0.01094554199880804,19.31865391700194,[np.float64(-0.02375)],[np.float64(-0.27875)],[1],[0],[0],[2.37269995799943],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
6,0,6,"[np.float64(0.03375), np.float64(0.10625), np.float64(0.07875)]","[np.float64(-0.34625), np.float64(-0.32125), np.float64(-0.3225)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.7219259169978613, 3.2268255419985508, 3.677678874999401]","[None, None, 'target']",6,0,6,0,19.349738000000798,,10,19.34074779200091,19.349738000000798,19.349738000000798,0.02191858300284366,23.01848175000123,"[np.float64(0.03375), np.float64(0.10625), np.float64(0.07875)]","[np.float64(-0.34625), np.float64(-0.32125), np.float64(-0.3225)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.7219259169978613, 3.2268255419985508, 3.677678874999401]","[None, None, 'target']",005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
7,0,7,"[np.float64(-0.1325), np.float64(-0.13375)]","[np.float64(0.1725), np.float64(0.14875)]","[1, 1]","[0, 0]","[0, 0]","[2.046467792002659, 2.8042023750022054]","[None, 'target']",7,0,7,0,23.049699792001775,,10,23.04002841700276,23.049699792001775,23.049699792001775,0.021267582997097634,25.844288542000868,"[np.float64(-0.1325), np.float64(-0.13375)]","[np.float64(0.1725), np.float64(0.14875)]","[1, 1]","[0, 0]","[0, 0]","[2.046467792002659, 2.8042023750022054]","[None, 'target']",005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
8,0,8,[np.float64(-0.4075)],[np.float64(-0.14625)],[1],[0],[0],[2.75033433399949],['target'],8,0,8,0,25.87456645900238,,10,25.865014917002554,25.87456645900238,25.87456645900238,0.020469667000725167,28.615392125000653,[np.float64(-0.4075)],[np.float64(-0.14625)],[1],[0],[0],[2.75033433399949],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
9,0,9,[np.float64(-0.26625)],[np.float64(-0.18)],[1],[0],[0],[2.2760389169998234],['target'],9,0,9,0,28.630928167000093,,5,28.625041667000914,28.630928167000093,28.630928167000093,0.009514417000900721,30.901153417002206,[np.float64(-0.26625)],[np.float64(-0.18)],[1],[0],[0],[2.2760389169998234],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
10,0,10,[np.float64(0.01875)],[np.float64(-0.22375)],[1],[0],[0],[2.7391809999971883],['target'],10,0,10,0,30.93385529200168,,10,30.92360287500196,30.93385529200168,30.93385529200168,0.022311957996862475,33.662861125001655,[np.float64(0.01875)],[np.float64(-0.22375)],[1],[0],[0],[2.7391809999971883],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
11,0,11,[np.float64(0.31)],[np.float64(-0.18875)],[1],[0],[0],[2.2769790409984125],['target'],11,0,11,0,33.68219275000229,,5,33.67510395900172,33.68219275000229,33.68219275000229,0.012018333000014536,35.95215620900126,[np.float64(0.31)],[np.float64(-0.18875)],[1],[0],[0],[2.2769790409984125],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
12,0,12,[np.float64(-0.0425)],[np.float64(0.20125)],[1],[0],[0],[1.8879236669999955],['target'],12,0,12,0,35.98355483400155,,10,35.97468166700128,35.98355483400155,35.98355483400155,0.02235054099946865,37.86266325000179,[np.float64(-0.0425)],[np.float64(0.20125)],[1],[0],[0],[1.8879236669999955],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
13,0,13,[np.float64(0.165)],[np.float64(0.18125)],[1],[0],[0],[2.5885343330010073],['target'],13,0,13,0,37.88156220900055,,5,37.87427108400152,37.88156220900055,37.88156220900055,0.011407416997826658,40.46287079200192,[np.float64(0.165)],[np.float64(0.18125)],[1],[0],[0],[2.5885343330010073],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
14,0,14,[np.float64(0.40125)],[np.float64(-0.46375)],[1],[0],[0],[3.791635542002041],['target'],14,0,14,0,40.4838085420015,,5,40.476513417001115,40.4838085420015,40.4838085420015,0.01346979200025089,44.26819104200331,[np.float64(0.40125)],[np.float64(-0.46375)],[1],[0],[0],[3.791635542002041],['target'],005,001,2025-09-30_12h00.34.381,Visual Search,,2025.1.1,None,2025-09-30 12h00.48.558655 +0530,
