reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
40,80,18,0,0,0,t,8.737464333011303,None,0,0,0,60,0.09784487501019612,,0.08915895799873397,0.09784487501019612,0.9978615830186754,0.9978615830186754,1.0955826659919694,10.127438499999698,t,8.737464333011303,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
82,115,140,1,1,0,l,1.9119610409834422,None,0,1,1,35,10.15173058299115,,10.132072750013322,10.15173058299115,11.118981415987946,11.118981415987946,11.145421832974534,13.036008124996442,l,1.9119610409834422,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
78,80,162,2,2,0,l,0.6974411240080371,None,0,2,2,6,13.052910124999471,,13.045651416003238,13.052910124999471,14.035557875002269,14.035557875002269,14.045412541017868,14.735436041024514,l,0.6974411240080371,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
24,48,10,3,3,0,t,0.22864808305166662,None,0,3,3,52,14.760620833025314,,14.742050333006773,14.760620833025314,15.734321540978272,15.734321540978272,15.750344083004165,15.96918816602556,t,0.22864808305166662,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
12,24,4,4,4,0,t,0.3649421239970252,None,0,4,4,46,15.983679249999113,,15.975649999978486,15.983679249999113,16.96920524997404,16.96920524997404,16.978681583015714,17.336083040980157,t,0.3649421239970252,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
100,225,48,5,5,0,l,0.24963612499414012,None,0,5,5,90,17.35053524997784,,17.3425572909764,17.35053524997784,18.336148958012927,18.336148958012927,18.345194833003916,18.597270000027493,l,0.24963612499414012,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
84,120,145,6,6,0,l,0.1516498330165632,None,0,6,6,36,18.612752291024663,,18.604288499976974,18.612752291024663,19.595203957986087,19.595203957986087,19.601152333023492,19.752562540990766,l,0.1516498330165632,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
116,265,56,7,7,0,l,0.013890666014049202,None,0,7,7,98,19.76739475002978,,19.759292541013565,19.76739475002978,20.751890374987852,20.751890374987852,20.76188533299137,20.768519499979448,l,0.013890666014049202,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
98,155,180,8,8,0,t,0.024815792043227702,None,0,8,8,43,20.784874374978244,,20.77691091602901,20.784874374978244,21.769043874985073,21.769043874985073,21.778377750015352,21.796661166008562,t,0.024815792043227702,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
64,88,95,9,9,0,t,0.2527279579662718,None,0,9,9,26,21.81248212500941,,21.803849250019994,21.81248212500941,22.7951352079981,22.7951352079981,22.800802082987502,23.052590332983527,t,0.2527279579662718,None,660298,001,2025-10-30_10h13.15.564,Delay Discounting,,2025.1.1,None,2025-10-30 10h14.09.757108 +0530,
