pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,4.027233875000093,None,0,0,0,0,,,,,0.024559625002439134,,0.015464667005289812,0.024559625002439134,1.0032988329985528,1.0032988329985528,1.0032988329985528,1.0032988329985528,1.019712500004971,1.99442283299868,1.99442283299868,6.214447541999107,x,1,4.027233875000093,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
150,v,1,1,0,v,1,0.5327592920002644,None,0,1,1,1,,,,,6.222274083003867,,6.214700666998397,6.222274083003867,7.208076333001372,7.208076333001372,7.208076333001372,7.208076333001372,7.219648582999071,8.211011708001024,8.211011708001024,8.754630875002476,v,1,0.5327592920002644,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
50,c,2,2,0,c,1,0.5599063339977874,None,0,2,2,2,,,,,8.763924457998655,,8.755432500001916,8.763924457998655,9.753028375002032,9.753028375002032,9.753028375002032,9.753028375002032,9.757354250003118,10.752977083000587,10.752977083000587,11.321214499999769,c,1,0.5599063339977874,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-150,z,3,3,0,z,1,0.7779642500026966,None,0,3,3,3,,,,,11.330588832999638,,11.322010000003502,11.330588832999638,12.319626666998374,12.319626666998374,12.319626666998374,12.319626666998374,12.324359833000926,13.319733249998535,13.319733249998535,14.104547499999171,z,1,0.7779642500026966,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-50,x,4,0,1,x,1,0.3895691670040833,None,1,0,4,0,,,,,14.114452499998151,,14.105133666998881,14.114452499998151,15.102900292004051,15.102900292004051,15.102900292004051,15.102900292004051,15.107831083005294,16.10301299999992,16.10301299999992,16.50432254200132,x,1,0.3895691670040833,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
150,v,5,1,1,v,1,0.40245087500079535,None,1,1,5,1,,,,,16.51452387500467,,16.505069541999546,16.51452387500467,17.502899167004216,17.502899167004216,17.502899167004216,17.502899167004216,17.507669124999666,18.503065125005378,18.503065125005378,18.908823999998276,v,1,0.40245087500079535,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
50,c,6,2,1,c,1,0.40357662499445723,None,1,2,6,2,,,,,18.918924167002842,,18.909335458003625,18.918924167002842,19.90299941700505,19.90299941700505,19.90299941700505,19.90299941700505,19.90798504200211,20.90290804200049,20.90290804200049,21.308656624998548,c,1,0.40357662499445723,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-150,z,7,3,1,z,1,0.4036287920025643,None,1,3,7,3,,,,,21.318968332998338,,21.309308292002243,21.318968332998338,22.30295954200119,22.30295954200119,22.30295954200119,22.30295954200119,22.30805204200442,23.30282850000367,23.30282850000367,23.708459458001016,z,1,0.4036287920025643,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-50,x,8,0,2,x,1,0.37212183399969945,None,2,0,8,0,,,,,23.718716957999277,,23.708946582999488,23.718716957999277,24.70764033299929,24.70764033299929,24.70764033299929,24.70764033299929,24.70764033299929,25.70930387500266,25.70930387500266,26.087790707999375,x,1,0.37212183399969945,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
150,v,9,1,2,v,1,0.4303414169989992,None,2,1,9,1,,,,,26.097788541999762,,26.088711249998596,26.097788541999762,27.086174167001445,27.086174167001445,27.086174167001445,27.086174167001445,27.091121792000195,28.086079625005368,28.086079625005368,28.520561042001646,v,1,0.4303414169989992,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
50,c,10,2,2,c,1,0.3827420000015991,None,2,2,10,2,,,,,28.52518254199822,,28.521227583005384,28.52518254199822,29.51946937500179,29.51946937500179,29.51946937500179,29.51946937500179,29.52438925000024,30.519536749998224,30.519536749998224,30.904438042001857,c,1,0.3827420000015991,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-150,z,11,3,2,z,1,0.3543417920009233,None,2,3,11,3,,,,,30.90991012500308,,30.905375082998944,30.90991012500308,31.90289466700051,31.90289466700051,31.90289466700051,31.90289466700051,31.908285124998656,32.902832457999466,32.902832457999466,33.25836508299835,z,1,0.3543417920009233,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-50,x,12,0,3,x,1,0.3595667499976116,None,3,0,12,0,,,,,33.26850620799814,,33.25883179200173,33.26850620799814,34.2579162080001,34.2579162080001,34.2579162080001,34.2579162080001,34.2579162080001,35.25269087500055,35.25269087500055,35.62085875000048,x,1,0.3595667499976116,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
150,v,13,1,3,v,1,0.27770370800135424,None,3,1,13,1,,,,,35.630963667004835,,35.621837874998164,35.630963667004835,36.61941262500477,36.61941262500477,36.61941262500477,36.61941262500477,36.624272667002515,37.61946512500435,37.61946512500435,37.90473708300124,v,1,0.27770370800135424,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
50,c,14,2,3,c,1,0.34539941700495547,None,3,2,14,2,,,,,37.91516670800047,,37.90554487500049,37.91516670800047,38.90277041700028,38.90277041700028,38.90277041700028,38.90277041700028,38.9078435420015,39.90268350000406,39.90268350000406,40.254014292004285,c,1,0.34539941700495547,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-150,z,15,3,3,z,1,0.6152903750044061,None,3,3,15,3,,,,,40.26399866700376,,40.25470862500515,40.26399866700376,41.25269012500212,41.25269012500212,41.25269012500212,41.25269012500212,41.25751941699855,42.25278495800012,42.25278495800012,42.87107237500459,z,1,0.6152903750044061,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-50,x,16,0,4,x,1,0.438493917004962,None,4,0,16,0,,,,,42.87638383300509,,42.87175075000414,42.87638383300509,43.86931883299985,43.86931883299985,43.86931883299985,43.86931883299985,43.87389191699913,44.8694167920039,44.8694167920039,45.32101341700036,x,1,0.438493917004962,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
150,v,17,1,4,v,1,0.5273830420046579,None,4,1,17,1,,,,,45.33167016700463,,45.321909667,45.33167016700463,46.31937633299822,46.31937633299822,46.31937633299822,46.31937633299822,46.3242112500011,47.31952333300433,47.31952333300433,47.85478004199831,v,1,0.5273830420046579,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
50,c,18,2,4,c,1,0.4884300420017098,None,4,2,18,2,,,,,47.864211708001676,,47.855751916999,47.864211708001676,48.8527816249989,48.8527816249989,48.8527816249989,48.8527816249989,48.85801650000212,49.852456749998964,49.852456749998964,50.34286358299869,c,1,0.4884300420017098,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-150,z,19,3,4,z,1,0.5282622499944409,None,4,3,19,3,,,,,50.37024283299979,,50.343335083001875,50.37024283299979,51.34139012500236,51.34139012500236,51.34139012500236,51.34139012500236,51.35685341700446,52.3425142499982,52.3425142499982,52.875193332998606,z,1,0.5282622499944409,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
-50,x,20,0,5,x,1,0.4296447079977952,None,5,0,20,0,,,,,52.88545916700241,,52.875702750003256,52.88545916700241,53.87422629199864,53.87422629199864,53.87422629199864,53.87422629199864,53.87422629199864,54.875023749998945,54.875023749998945,55.309124500003236,x,1,0.4296447079977952,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
150,v,21,1,5,v,1,0.4432472080006846,None,5,1,21,1,,,,,55.31895108300523,,55.3096002079983,55.31895108300523,56.307642542000394,56.307642542000394,56.307642542000394,56.307642542000394,56.307642542000394,57.30847024999821,57.30847024999821,57.754612917000486,v,1,0.4432472080006846,None,,,,,02,001,2025-10-02_10h23.27.958,Motor Sequential Learning,,2025.1.1,None,2025-10-02 10h23.36.415650 +0530,
