thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.3675)],[np.float64(0.465)],[1],[0],[0],[1.552168750000419],['target'],0,0,0,0,0.01606487499884679,,5,0.00960504199974821,0.01606487499884679,0.01606487499884679,0.009613666999939596,1.561859708999691,[np.float64(-0.3675)],[np.float64(0.465)],[1],[0],[0],[1.552168750000419],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
1,0,1,[np.float64(-0.4475)],[np.float64(0.015)],[1],[0],[0],[1.2437128750025295],['target'],1,0,1,0,1.590720500000316,,10,1.582075292000809,1.590720500000316,1.590720500000316,0.0199712499997986,2.825835333998839,[np.float64(-0.4475)],[np.float64(0.015)],[1],[0],[0],[1.2437128750025295],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
2,0,2,[np.float64(-0.345)],[np.float64(-0.28)],[1],[0],[0],[1.3715642089991888],['target'],2,0,2,0,2.8437883339975087,,5,2.8370569170001545,2.8437883339975087,2.8437883339975087,0.011055208000470884,4.208681291998801,[np.float64(-0.345)],[np.float64(-0.28)],[1],[0],[0],[1.3715642089991888],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
3,0,3,[np.float64(0.26)],[np.float64(-0.34875)],[1],[0],[0],[1.3172482080008194],['target'],3,0,3,0,4.238866125000641,,10,4.230404999998427,4.238866125000641,4.238866125000641,0.021556957999564474,5.547702916999697,[np.float64(0.26)],[np.float64(-0.34875)],[1],[0],[0],[1.3172482080008194],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
4,0,4,[np.float64(0.41875)],[np.float64(0.26)],[1],[0],[0],[1.158044333998987],['target'],4,0,4,0,5.5757632499989995,,10,5.56776012499904,5.5757632499989995,5.5757632499989995,0.019896082998457132,6.725849499998731,[np.float64(0.41875)],[np.float64(0.26)],[1],[0],[0],[1.158044333998987],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
5,0,5,[np.float64(-0.3125)],[np.float64(0.17)],[1],[0],[0],[1.295934624999063],['target'],5,0,5,0,6.743404333999933,,5,6.73670724999829,6.743404333999933,6.743404333999933,0.010694417000195244,8.032735624998168,[np.float64(-0.3125)],[np.float64(0.17)],[1],[0],[0],[1.295934624999063],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
6,0,6,"[np.float64(0.2325), np.float64(0.2525)]","[np.float64(-0.16375), np.float64(-0.19)]","[1, 1]","[0, 0]","[0, 0]","[1.4796226250000473, 2.0351404579996597]","[None, 'target']",6,0,6,0,8.053214084000501,,5,8.045982416999323,8.053214084000501,8.053214084000501,0.013016582997806836,10.081181416997424,"[np.float64(0.2325), np.float64(0.2525)]","[np.float64(-0.16375), np.float64(-0.19)]","[1, 1]","[0, 0]","[0, 0]","[1.4796226250000473, 2.0351404579996597]","[None, 'target']",002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
7,0,7,[np.float64(0.24625)],[np.float64(0.47625)],[1],[0],[0],[1.8445136250011274],['target'],7,0,7,0,10.112347083999339,,10,10.103176541997527,10.112347083999339,10.112347083999339,0.02179391699974076,11.94773316699866,[np.float64(0.24625)],[np.float64(0.47625)],[1],[0],[0],[1.8445136250011274],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
8,0,8,[np.float64(0.0325)],[np.float64(0.3675)],[1],[0],[0],[2.3244204170005105],['target'],8,0,8,0,11.976390874999197,,10,11.967864916998224,11.976390874999197,11.976390874999197,0.01996641599907889,14.292331708998972,[np.float64(0.0325)],[np.float64(0.3675)],[1],[0],[0],[2.3244204170005105],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
9,0,9,[np.float64(-0.3925)],[np.float64(0.15)],[1],[0],[0],[1.5699657919976744],['target'],9,0,9,0,14.318622583999968,,10,14.310839833997306,14.318622583999968,14.318622583999968,0.018339750000450294,15.880852750000486,[np.float64(-0.3925)],[np.float64(0.15)],[1],[0],[0],[1.5699657919976744],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
10,0,10,[np.float64(0.32375)],[np.float64(-0.16625)],[1],[0],[0],[1.2920828749993234],['target'],10,0,10,0,15.90944262499761,,10,15.900536499997543,15.90944262499761,15.90944262499761,0.019521040998370154,17.192677499999263,[np.float64(0.32375)],[np.float64(-0.16625)],[1],[0],[0],[1.2920828749993234],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
11,0,11,[np.float64(-0.23375)],[np.float64(-0.18875)],[1],[0],[0],[2.062706959000934],['target'],11,0,11,0,17.221363500000734,,10,17.212833708999824,17.221363500000734,17.221363500000734,0.01994412500062026,19.275586874999135,[np.float64(-0.23375)],[np.float64(-0.18875)],[1],[0],[0],[2.062706959000934],['target'],002,001,2025-09-30_09h51.57.252,Visual Search,,2025.1.1,None,2025-09-30 09h52.05.190379 +0530,
