pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.7689630419990863,None,0,0,0,0,,,,,0.027833291998831555,,0.021332167001673952,0.027833291998831555,1.0025972919975175,1.0025972919975175,1.0025972919975175,1.0025972919975175,1.0156135830038693,1.9959220000018831,1.9959220000018831,3.029354541999055,x,1,0.7689630419990863,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
150,v,1,1,0,v,1,0.4509606670035282,None,0,1,1,1,,,,,3.037842042002012,,3.029615166997246,3.037842042002012,4.020144000001892,4.020144000001892,4.020144000001892,4.020144000001892,4.033008625003276,5.018892958003562,5.018892958003562,5.480601167000714,v,1,0.4509606670035282,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
50,c,2,2,0,c,1,0.4406097079991014,None,0,2,2,2,,,,,5.489249500002188,,5.4811444579972886,5.489249500002188,6.479436082998291,6.479436082998291,6.479436082998291,6.479436082998291,6.485719500000414,7.479311041999608,7.479311041999608,7.930702208002913,c,1,0.4406097079991014,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-150,z,3,3,0,z,1,0.3265327909975895,None,0,3,3,3,,,,,7.939536167003098,,7.931242332997499,7.939536167003098,8.929343000003428,8.929343000003428,8.929343000003428,8.929343000003428,8.935572957998374,9.929225583000516,9.929225583000516,10.264282417003415,z,1,0.3265327909975895,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-50,x,4,0,1,x,1,0.29224929100018926,None,1,0,4,0,,,,,10.27338299999974,,10.264926083000319,10.27338299999974,11.262505375001638,11.262505375001638,11.262505375001638,11.262505375001638,11.267996583002969,12.262562750001962,12.262562750001962,12.564309332999983,x,1,0.29224929100018926,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
150,v,5,1,1,v,1,0.40926729099737713,None,1,1,5,1,,,,,12.57301366700267,,12.564902917001746,12.57301366700267,13.562639208001201,13.562639208001201,13.562639208001201,13.562639208001201,13.569111124998017,14.562478500003635,14.562478500003635,14.980541707998782,v,1,0.40926729099737713,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
50,c,6,2,1,c,1,0.3893313750013476,None,1,2,6,2,,,,,14.989540957998543,,14.981062833001488,14.989540957998543,15.979240332999325,15.979240332999325,15.979240332999325,15.979240332999325,15.985774000000674,16.979343207996862,16.979343207996862,17.370061417001125,c,1,0.3893313750013476,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-150,z,7,3,1,z,1,0.4000763750009355,None,1,3,7,3,,,,,17.378825874999166,,17.37066995799978,17.378825874999166,18.367523957997037,18.367523957997037,18.367523957997037,18.367523957997037,18.367523957997037,19.369493541998963,19.369493541998963,19.78073758300161,z,1,0.4000763750009355,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-50,x,8,0,2,v,0,0.5414744580048136,None,2,0,8,0,,,,,19.78931804199965,,19.78125879199797,19.78931804199965,20.779257207999763,20.779257207999763,20.779257207999763,20.779257207999763,20.784340707999945,21.779137083001842,21.779137083001842,22.330748458000016,v,0,0.5414744580048136,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
150,v,9,1,2,v,1,0.4186645829977351,None,2,1,9,1,,,,,22.339933583003585,,22.331468500000483,22.339933583003585,23.32907170800172,23.32907170800172,23.32907170800172,23.32907170800172,23.334015749998798,24.32912587500323,24.32912587500323,24.75263587500376,v,1,0.4186645829977351,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
50,c,10,2,2,c,1,0.4968937500016182,None,2,2,10,2,,,,,24.772510583003168,,24.75312387500162,24.772510583003168,25.75299954199727,25.75299954199727,25.75299954199727,25.75299954199727,25.76615920799668,26.7458067080006,26.7458067080006,27.247491542002535,c,1,0.4968937500016182,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-150,z,11,3,2,z,1,0.37469599999894854,None,2,3,11,3,,,,,27.256313332996797,,27.2482213330004,27.256313332996797,28.245881167000334,28.245881167000334,28.245881167000334,28.245881167000334,28.252304082998307,29.245721457999025,29.245721457999025,29.6306703750015,z,1,0.37469599999894854,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-50,x,12,0,3,x,1,0.43450720800319687,None,3,0,12,0,,,,,29.63921875000233,,29.631307916999504,29.63921875000233,30.629249625002558,30.629249625002558,30.629249625002558,30.629249625002558,30.635829042003024,31.629100707999896,31.629100707999896,32.069338499997684,x,1,0.43450720800319687,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
150,v,13,1,3,v,1,0.3038193329994101,None,3,1,13,1,,,,,32.07803454199893,,32.06985004199669,32.07803454199893,33.06896499999857,33.06896499999857,33.06896499999857,33.06896499999857,33.06896499999857,34.06241725000291,34.06241725000291,34.36864641700231,v,1,0.3038193329994101,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
50,c,14,2,3,c,1,0.2202822909966926,None,3,2,14,2,,,,,34.37800045799668,,34.36911283300287,34.37800045799668,35.36947145799786,35.36947145799786,35.36947145799786,35.36947145799786,35.36947145799786,36.36897350000072,36.36897350000072,36.59796245799953,c,1,0.2202822909966926,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-150,z,15,3,3,z,1,0.2402192079971428,None,3,3,15,3,,,,,36.60650608300057,,36.59868029200152,36.60650608300057,37.59564604199841,37.59564604199841,37.59564604199841,37.59564604199841,37.60160020799958,38.595792958003585,38.595792958003585,38.847442541999044,z,1,0.2402192079971428,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-50,x,16,0,4,x,1,0.2335156659974018,None,4,0,16,0,,,,,38.8559043330024,,38.84800829199958,38.8559043330024,39.845773082997766,39.845773082997766,39.845773082997766,39.845773082997766,39.850960541996756,40.84565624999959,40.84565624999959,41.086058082997624,x,1,0.2335156659974018,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
150,v,17,1,4,v,1,0.4528158329994767,None,4,1,17,1,,,,,41.09479208300036,,41.08654916699743,41.09479208300036,42.0858706250001,42.0858706250001,42.0858706250001,42.0858706250001,42.0858706250001,43.087317375000566,43.087317375000566,43.54718383299769,v,1,0.4528158329994767,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
50,c,18,2,4,c,1,0.24749770799826365,None,4,2,18,2,,,,,43.555878749997646,,43.54783362500166,43.555878749997646,44.545699667003646,44.545699667003646,44.545699667003646,44.545699667003646,44.55167729200184,45.54558154199913,45.54558154199913,45.79727854199882,c,1,0.24749770799826365,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-150,z,19,3,4,z,1,0.27431820800120477,None,4,3,19,3,,,,,45.80594766700233,,45.79794270799903,45.80594766700233,46.79552262499783,46.79552262499783,46.79552262499783,46.79552262499783,46.799987167003565,47.795645250000234,47.795645250000234,48.08078608300275,z,1,0.27431820800120477,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
-50,x,20,0,5,x,1,0.23697625000204425,None,5,0,20,0,,,,,48.08947079200152,,48.081436708002,48.08947079200152,49.079029708002054,49.079029708002054,49.079029708002054,49.079029708002054,49.08501737500046,50.07889954200073,50.07889954200073,50.318917124997824,x,1,0.23697625000204425,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
150,v,21,1,5,v,1,0.29902637399936793,None,5,1,21,1,,,,,50.32792575000349,,50.31939695800247,50.32792575000349,51.31872329200269,51.31872329200269,51.31872329200269,51.31872329200269,51.31872329200269,52.31881891700323,52.31881891700323,52.630623625002045,v,1,0.29902637399936793,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
50,c,22,2,5,c,1,0.2760100829982548,None,5,2,22,2,,,,,52.639377958003024,,52.63129370800016,52.639377958003024,53.62877545799711,53.62877545799711,53.62877545799711,53.62877545799711,53.63450029199885,54.62888145800389,54.62888145800389,54.91366633299913,c,1,0.2760100829982548,None,,,,,01,001,2025-10-01_13h58.21.630,Motor Sequential Learning,,2025.1.1,None,2025-10-01 13h58.34.840380 +0530,
