thisN,thisTrialN,thisRepN,rating_resp.keys,rating_resp.rt,rating_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,instructions.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image_rating.started,image.started,fixation.started,rating_resp.started,image.stopped,fixation.stopped,rating_resp.stopped,image_rating.stopped,trial_num,image_name,rating,response_given,trials.rating_resp.keys,trials.rating_resp.rt,trials.rating_resp.duration,end_thanks.started,thankyou.started,thankyou.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.009207457944285125,0.0160973749589175,0.0160973749589175,7.564417124958709,space,7.335193999984767,None,,,,,,,,,,,,,,,,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
0,0,0,3,1.77700050000567,0.14602441701572388,0,0,0,0,7.588924791954923,,,,,,,,,7.584299291949719,7.588924791954923,10.562508082948625,10.562508082948625,10.588261291966774,14.569786332955118,14.569786332955118,14.552273666951805,1,War 6.jpg,3,1,3,1.77700050000567,0.14602441701572388,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
1,0,1,2,2.4274352499633096,0.2523323750356212,1,0,1,0,14.569786332955118,,,,,,,,,14.564923917001579,14.569786332955118,17.558255124953575,17.558255124953575,17.566828916955274,21.564153499959502,21.564153499959502,21.550200166995637,2,Soldiers 8.jpg,2,1,2,2.4274352499633096,0.2523323750356212,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
2,0,2,2,0.1441382080083713,0.25399095797911286,2,0,2,0,21.564153499959502,,,,,,,,,21.559399499965366,21.564153499959502,24.55775812495267,24.55775812495267,24.55775812495267,28.568069457949605,28.568069457949605,28.551664916973095,3,Car 1.jpg,2,1,2,0.1441382080083713,0.25399095797911286,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
3,0,3,3,0.49613333301385865,0.25546050001867115,3,0,3,0,28.568069457949605,,,,,,,,,28.563276041997597,28.568069457949605,31.557940541999415,31.557940541999415,31.56669999996666,35.56591974996263,35.56591974996263,35.55074999999488,4,Car accident 2.jpg,3,1,3,0.49613333301385865,0.25546050001867115,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
4,0,4,3,1.5172764580347575,0.274006332969293,4,0,4,0,35.56591974996263,,,,,,,,,35.56126824999228,35.56591974996263,38.55720999999903,38.55720999999903,38.55720999999903,42.566914916969836,42.566914916969836,42.5511135829729,5,War 8.jpg,3,1,3,1.5172764580347575,0.274006332969293,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
5,0,5,1,0.9539956240332685,0.2563899999950081,5,0,5,0,42.566914916969836,,,,,,,,,42.56223983300151,42.566914916969836,45.556768791982904,45.556768791982904,45.556768791982904,49.5546949999989,49.5546949999989,49.540852332953364,6,Spider 2.jpg,1,1,1,0.9539956240332685,0.2563899999950081,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
6,0,6,1,2.6707025410141796,0.2424608749570325,6,0,6,0,49.5546949999989,,,,,,,,,49.55083449999802,49.56651658297051,52.5577987919678,52.5577987919678,52.5577987919678,56.56883383297827,56.56883383297827,56.551452499988955,7,Plane crash 1.jpg,1,1,1,2.6707025410141796,0.2424608749570325,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
7,0,7,1,1.7545525419991463,0.2420127079822123,7,0,7,0,56.56883383297827,,,,,,,,,56.56386412499705,56.56883383297827,59.5584293329739,59.5584293329739,59.56601445795968,63.56507854198571,63.56507854198571,63.55100658297306,8,Performance 2.jpg,1,1,1,1.7545525419991463,0.2420127079822123,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
8,0,8,3,1.8121208739466965,0.24033795902505517,8,0,8,0,63.56507854198571,,,,,,,,,63.560204082983546,63.56507854198571,66.55634645797545,66.55634645797545,66.55634645797545,70.56601095799124,70.56601095799124,70.5506591249723,9,Tornado 1.jpg,3,1,3,1.8121208739466965,0.24033795902505517,,,,,smit,001,2025-10-28_15h47.31.402,Canli_replication,,2025.1.1,None,2025-10-28 15h47.47.316768 +0530,
