stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
66,1,1.0,73.47791775000223,,73.47133062499051,73.47791775000223,73.96951566699136,73.96951566699136,73.97320745899924,74.25684449999244,74.42145954199077,left,-1.0,1,1,0.44791516700934153,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
67,1,1.0,74.42877499999304,,74.42182033399877,74.42877499999304,74.91974204199505,74.91974204199505,74.92428862499946,75.20703745899664,75.55458341698977,right,1.0,1,1,0.6287709169992013,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
68,1,1.0,75.56191041700367,,75.55495508399326,75.56191041700367,76.05296945899318,76.05296945899318,76.05777983399457,76.33956224999565,76.62184116699791,left,-1.0,1,1,0.5644407079962548,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
69,1,1.0,76.62956283400126,,76.6222944589972,76.62956283400126,77.11953304200142,77.11953304200142,77.12334329199803,77.40652729199792,77.63787674999912,left,-1.0,1,1,0.5048108750052052,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
70,0.5,1.0,77.64493045899144,,77.63821837499563,77.64493045899144,78.13622933399165,78.13622933399165,78.14059304200055,78.42262033399311,78.7212460419978,right,1.0,0,0,0.5760911249963101,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
71,0.5,1.5,78.72856162500102,,78.72166483399633,78.72856162500102,79.21964095899602,79.21964095899602,79.22464795899577,79.50652316700143,80.32443366700318,left,-1.5,1,1,1.102632625013939,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
72,0.5,1.5,80.33619954199821,,80.32469491699885,80.33619954199821,80.81955949999974,80.81955949999974,80.8233178340015,81.10607420899032,81.32164449999982,left,-1.5,1,1,0.49961658399843145,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
73,0.5,1.5,81.32905712499633,,81.32194395900297,81.32905712499633,81.81947729199601,81.81947729199601,81.82332679200044,82.10732499998994,82.28800758399302,left,-1.5,1,1,0.46480812499066815,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
74,0.5,1.0,82.29275125000277,,82.2883989999973,82.29275125000277,82.78613675000088,82.78613675000088,82.79059366699948,83.07365070898959,83.40707149999798,right,1.0,1,1,0.6180715420050547,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
75,0.5,1.0,83.41958237499057,,83.40733029200055,83.41958237499057,83.9028998339927,83.9028998339927,83.90624741699139,84.19008537499758,84.60437954199733,left,-1.0,0,0,0.6892776659951778,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
76,0.5,1.5,84.61158979199536,,84.60473841699422,84.61158979199536,85.10322795899992,85.10322795899992,85.11083054199116,85.390361999991,85.8221486669936,right,1.5,1,1,0.7149682919989573,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
77,0.5,1.5,85.82698366699333,,85.82279641699279,85.82698366699333,86.31958691700129,86.31958691700129,86.32426949999353,86.60651833399606,86.97105087499949,left,-1.5,1,1,0.6375625420041615,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
78,0.5,1.5,86.97814937499061,,86.9713927089906,86.97814937499061,87.46942241699435,87.46942241699435,87.4735432919988,87.75679145900358,88.10706537499209,left,-1.5,1,1,0.633694625008502,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
79,0.5,1.0,88.11949533400184,,88.10733695900126,88.11949533400184,88.60289145899878,88.60289145899878,88.60764891699364,88.88984204200096,89.18776962500124,left,-1.0,1,1,0.5831647910090396,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
80,0.5,1.0,89.19495654199272,,89.18814041699807,89.19495654199272,89.68605645900243,89.68605645900243,89.69016929199279,89.97232049999002,90.2212183340016,left,-1.0,1,1,0.5220879169937689,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
81,0.5,1.0,90.22870195900032,,90.22161283399328,90.22870195900032,90.71933191700373,90.71933191700373,90.72259745899646,91.00611495900375,92.12113112499355,left,-1.0,0,0,1.3876302910066443,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
82,0.5,1.5,92.12862837499415,,92.1215382090013,92.12862837499415,92.6195281669934,92.6195281669934,92.62451791699277,92.90639249999367,93.33793983400392,right,1.5,1,1,0.7104370830056723,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
83,0.5,1.5,93.34536329199909,,93.3383077920007,93.34536329199909,93.83603454199329,93.83603454199329,93.84059808400343,94.12249675000203,95.18763233399659,right,1.5,1,1,1.3409911250055302,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
84,0.5,1.5,95.1949046249938,,95.1880099169939,95.1949046249938,95.68601958399813,95.68601958399813,95.69032687500294,95.97301333399082,96.49063104199013,left,-1.5,1,1,0.8007894170004874,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
85,0.5,1.0,96.50270945898956,,96.49089683400234,96.50270945898956,96.99048587499419,96.99048587499419,96.99048587499419,97.28940391699143,97.80694429199502,left,-1.0,1,1,0.8143804999999702,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
