image_name,condition,thisN,thisTrialN,thisRepN,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,text_2.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stim_image.started,fixation.stopped,stim_image.stopped,text.started,remember_box.started,familiar_box.started,forgotten_box.started,remember_text.started,familiar_text.started,forgotten_text.started,mouse_resp.started,trial.stopped,response_label,response_code,trials.mouse_resp.x,trials.mouse_resp.y,trials.mouse_resp.leftButton,trials.mouse_resp.midButton,trials.mouse_resp.rightButton,trials.mouse_resp.time,trials.mouse_resp.clicked_name,end_thanks.started,thanks.started,thanks.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Street 3.jpg,new,48,48,0,[np.float64(0.3587866108786611)],[np.float64(-0.2688284518828452)],[1],[0],[0],[1.4356670830165967],['forgotten_box'],0,48,48,71,257.57554379093926,,,,,,,,,257.5714768329635,257.57554379093926,258.556260708021,258.56989208294544,261.55783020798117,261.55783020798117,261.55783020798117,261.55783020798117,261.55783020798117,261.55783020798117,261.55783020798117,261.55783020798117,4.00024741597008,263.00086499995086,Forgotten,1,[np.float64(0.3587866108786611)],[np.float64(-0.2688284518828452)],[1],[0],[0],[1.4356670830165967],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Cat 12.jpg,old,49,49,0,[np.float64(0.30962343096234307)],[np.float64(-0.28870292887029286)],[1],[0],[0],[1.3144064999651164],['forgotten_box'],0,49,49,35,263.31657058291603,,,,,,,,,263.3126277499832,263.31657058291603,264.30614687502384,264.315381916007,267.3081626249477,267.3081626249477,267.3081626249477,267.3081626249477,267.3081626249477,267.3081626249477,267.3081626249477,267.3081626249477,4.002619875012897,268.6229627080029,Forgotten,1,[np.float64(0.30962343096234307)],[np.float64(-0.28870292887029286)],[1],[0],[0],[1.3144064999651164],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Severed finger 1.jpg,old,50,50,0,[np.float64(-0.27510460251046026)],[np.float64(-0.29602510460251047)],[1],[0],[0],[0.5719894589856267],['remember_box'],0,50,50,2,268.94229974993505,,,,,,,,,268.93858241592534,268.94229974993505,269.9229248749325,269.9374547909247,272.9257940829266,272.9257940829266,272.9257940829266,272.9257940829266,272.9257940829266,272.9257940829266,272.9257940829266,272.9257940829266,4.002262750058435,273.50662379094865,Remembered,3,[np.float64(-0.27510460251046026)],[np.float64(-0.29602510460251047)],[1],[0],[0],[0.5719894589856267],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Car accident 2.jpg,old,51,51,0,[np.float64(0.027196652719665274)],[np.float64(-0.3106694560669456)],[1],[0],[0],[0.3516425840789452],['familiar_box'],0,51,51,14,273.82563533296343,,,,,,,,,273.82190924999304,273.82563533296343,274.80601487495005,274.8198907079641,277.80803166597616,277.80803166597616,277.80803166597616,277.80803166597616,277.80803166597616,277.80803166597616,277.80803166597616,277.80803166597616,3.9997630830621347,278.16697033296805,Familiar,2,[np.float64(0.027196652719665274)],[np.float64(-0.3106694560669456)],[1],[0],[0],[0.3516425840789452],['familiar_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Lion 1.jpg,new,52,52,0,[np.float64(0.3274058577405858)],[np.float64(-0.3399581589958159)],[1],[0],[0],[0.5004954170435667],['forgotten_box'],0,52,52,65,278.48294179094955,,,,,,,,,278.4788462079596,278.48294179094955,279.4651373329107,279.48174541594926,282.45423308294266,282.46377983293496,282.46377983293496,282.46377983293496,282.46377983293496,282.46377983293496,282.46377983293496,282.46377983293496,3.999856291920878,282.97222395800054,Forgotten,1,[np.float64(0.3274058577405858)],[np.float64(-0.3399581589958159)],[1],[0],[0],[0.5004954170435667],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Car crash 2.jpg,old,53,53,0,[np.float64(-0.2280334728033473)],[np.float64(-0.3043933054393305)],[1],[0],[0],[0.5326114159543067],['remember_box'],0,53,53,39,283.29434329096694,,,,,,,,,283.2903284159256,283.29434329096694,284.2724140409846,284.2877749579493,287.27646291593555,287.27646291593555,287.27646291593555,287.27646291593555,287.27646291593555,287.27646291593555,287.27646291593555,287.27646291593555,4.002845040988177,287.81757524993736,Remembered,3,[np.float64(-0.2280334728033473)],[np.float64(-0.3043933054393305)],[1],[0],[0],[0.5326114159543067],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Dog 31.jpg,new,54,54,0,[np.float64(-0.3493723849372385)],[np.float64(-0.32426778242677823)],[1],[0],[0],[0.5466316670645028],['remember_box'],0,54,54,60,288.1324096249882,,,,,,,,,288.12841404101346,288.1324096249882,289.1224826659309,289.1224826659309,292.12522583291866,292.12522583291866,292.12522583291866,292.12522583291866,292.12522583291866,292.12522583291866,292.12522583291866,292.12522583291866,4.003014957997948,292.6722667909926,Remembered,3,[np.float64(-0.3493723849372385)],[np.float64(-0.32426778242677823)],[1],[0],[0],[0.5466316670645028],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Jail 1.jpg,new,55,55,0,[np.float64(0.3138075313807531)],[np.float64(-0.3023012552301255)],[1],[0],[0],[1.5247894580243155],['forgotten_box'],0,55,55,68,292.99254179093987,,,,,,,,,292.988468040945,292.99254179093987,293.97244812501594,293.98585333290976,296.97430674999487,296.97430674999487,296.97430674999487,296.97430674999487,296.97430674999487,296.97430674999487,296.97430674999487,296.97430674999487,3.9996725000673905,298.50645566591993,Forgotten,1,[np.float64(0.3138075313807531)],[np.float64(-0.3023012552301255)],[1],[0],[0],[1.5247894580243155],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Sidewalk 2.jpg,old,56,56,0,[np.float64(0.3138075313807531)],[np.float64(-0.3023012552301255)],[1],[0],[0],[0.47329245798755437],['forgotten_box'],0,56,56,20,298.82614775002,,,,,,,,,298.8220919999294,298.82614775002,299.8055206249701,299.82008695800323,302.8088717079954,302.8088717079954,302.8088717079954,302.8088717079954,302.8088717079954,302.8088717079954,302.8088717079954,302.8088717079954,4.001240500016138,303.28996374993585,Forgotten,1,[np.float64(0.3138075313807531)],[np.float64(-0.3023012552301255)],[1],[0],[0],[0.47329245798755437],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Football player 1.jpg,old,57,57,0,[np.float64(0.04079497907949791)],[np.float64(-0.3106694560669456)],[1],[0],[0],[0.7948060830822214],['familiar_box'],0,57,57,6,303.60865445795935,,,,,,,,,303.6045457079308,303.60865445795935,304.58939166599885,304.6033174999757,307.5898713329807,307.5898713329807,307.5898713329807,307.5898713329807,307.5898713329807,307.5898713329807,307.5898713329807,307.5898713329807,4.00576224992983,308.3991674579447,Familiar,2,[np.float64(0.04079497907949791)],[np.float64(-0.3106694560669456)],[1],[0],[0],[0.7948060830822214],['familiar_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
